PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),MATTHEW DEL CARLO,DAVID CHIU,Under Vote,Over Vote
Pct 7606,Election Day,7606,1,992,247,24.90,46,143,57,1
Pct 7606,VBM,7606,1,992,393,39.62,45,283,64,1
Pct 7607,Election Day,7607,1,1055,272,25.78,33,182,57,0
Pct 7607,VBM,7607,1,1055,438,41.52,48,331,59,0
Pct 7608,Election Day,7608,1,456,89,19.52,11,54,24,0
Pct 7608,VBM,7608,1,456,155,33.99,30,106,19,0
Pct 7609,Election Day,7609,1,1051,153,14.56,18,91,44,0
Pct 7609,VBM,7609,1,1051,398,37.87,40,298,59,1
Pct 7611,Election Day,7611,1,898,155,17.26,27,92,35,1
Pct 7611,VBM,7611,1,898,324,36.08,34,225,65,0
Pct 7612,Election Day,7612,1,668,120,17.96,11,85,24,0
Pct 7612,VBM,7612,1,668,298,44.61,32,223,43,0
Pct 7613,Election Day,7613,1,1015,225,22.17,26,151,48,0
Pct 7613,VBM,7613,1,1015,392,38.62,52,281,59,0
Pct 7614,Election Day,7614,1,1177,275,23.36,34,178,63,0
Pct 7614,VBM,7614,1,1177,518,44.01,76,373,69,0
Pct 7615,Election Day,7615,1,1020,216,21.18,33,134,47,2
Pct 7615,VBM,7615,1,1020,312,30.59,43,212,57,0
Pct 7616,Election Day,7616,1,981,195,19.88,36,135,24,0
Pct 7616,VBM,7616,1,981,612,62.39,80,433,99,0
Pct 7617,Election Day,7617,1,898,151,16.82,23,90,37,1
Pct 7617,VBM,7617,1,898,365,40.65,59,244,61,1
Pct 7618,Election Day,7618,1,948,184,19.41,17,130,37,0
Pct 7618,VBM,7618,1,948,505,53.27,47,391,66,1
Pct 7619,Election Day,7619,1,1971,418,21.21,59,259,100,0
Pct 7619,VBM,7619,1,1971,1067,54.13,129,792,146,0
Pct 7621,Election Day,7621,1,1082,254,23.48,33,169,52,0
Pct 7621,VBM,7621,1,1082,546,50.46,78,368,100,0
Pct 7622,Election Day,7622,1,1007,181,17.97,19,114,47,1
Pct 7622,VBM,7622,1,1007,353,35.05,45,239,69,0
Pct 7623,Election Day,7623,1,839,171,20.38,20,110,41,0
Pct 7623,VBM,7623,1,839,296,35.28,37,214,45,0
Pct 7624,Election Day,7624,1,1074,212,19.74,28,134,50,0
Pct 7624,VBM,7624,1,1074,353,32.87,50,248,55,0
Pct 7625,Election Day,7625,1,896,87,9.71,12,48,27,0
Pct 7625,VBM,7625,1,896,530,59.15,75,382,73,0
Pct 7626,Election Day,7626,1,1177,291,24.72,42,194,55,0
Pct 7626,VBM,7626,1,1177,720,61.17,121,514,85,0
Pct 7627,Election Day,7627,1,1586,411,25.91,89,260,62,0
Pct 7627,VBM,7627,1,1586,915,57.69,175,581,159,0
Pct 7628,Election Day,7628,1,1006,255,25.35,24,181,50,0
Pct 7628,VBM,7628,1,1006,465,46.22,45,355,65,0
Pct 7629,Election Day,7629,1,837,212,25.33,21,152,39,0
Pct 7629,VBM,7629,1,837,365,43.61,43,252,70,0
Pct 7631,Election Day,7631,1,1143,313,27.38,42,204,67,0
Pct 7631,VBM,7631,1,1143,602,52.67,61,475,66,0
Pct 7632,Election Day,7632,1,727,190,26.13,17,136,37,0
Pct 7632,VBM,7632,1,727,342,47.04,33,260,48,1
Pct 7633,Election Day,7633,1,731,182,24.90,25,129,27,1
Pct 7633,VBM,7633,1,731,392,53.63,45,281,65,1
Pct 7634,Election Day,7634,1,1017,222,21.83,35,131,56,0
Pct 7634,VBM,7634,1,1017,484,47.59,73,353,58,0
Pct 7635,Election Day,7635,1,868,202,23.27,28,132,42,0
Pct 7635,VBM,7635,1,868,441,50.81,53,325,63,0
Pct 7636,Election Day,7636,1,993,282,28.40,40,188,54,0
Pct 7636,VBM,7636,1,993,502,50.55,82,350,69,1
Pct 7637,Election Day,7637,1,1361,370,27.19,67,223,79,1
Pct 7637,VBM,7637,1,1361,781,57.38,113,546,122,0
Pct 7638,Election Day,7638,1,1285,300,23.35,54,185,61,0
Pct 7638,VBM,7638,1,1285,835,64.98,172,556,107,0
Pct 7639,Election Day,7639,1,1011,267,26.41,47,168,52,0
Pct 7639,VBM,7639,1,1011,624,61.72,112,416,96,0
Pct 7641,Election Day,7641,1,977,224,22.93,42,153,29,0
Pct 7641,VBM,7641,1,977,571,58.44,116,374,81,0
Pct 7642,Election Day,7642,1,967,212,21.92,33,149,30,0
Pct 7642,VBM,7642,1,967,598,61.84,93,415,90,0
Pct 7643,Election Day,7643,1,959,203,21.17,31,131,41,0
Pct 7643,VBM,7643,1,959,555,57.87,73,393,89,0
Pct 7644,Election Day,7644,1,1111,322,28.98,43,215,64,0
Pct 7644,VBM,7644,1,1111,603,54.28,68,439,95,1
Pct 7645,Election Day,7645,1,669,142,21.23,26,89,27,0
Pct 7645,VBM,7645,1,669,445,66.52,76,293,76,0
Pct 7646,Election Day,7646,1,2163,586,27.09,91,392,103,0
Pct 7646,VBM,7646,1,2163,1307,60.43,172,951,184,0
Pct 7647,Election Day,7647,1,1028,260,25.29,36,166,58,0
Pct 7647,VBM,7647,1,1028,338,32.88,45,237,56,0
Pct 7648 MB,Election Day,7648,1,4,0,0.00,0,0,0,0
Pct 7648 MB,VBM,7648,1,4,3,75.00,0,3,0,0
Pct 7701,Election Day,7701,1,1049,354,33.75,40,256,58,0
Pct 7701,VBM,7701,1,1049,560,53.38,61,416,83,0
Pct 7702,Election Day,7702,1,775,192,24.77,33,123,36,0
Pct 7702,VBM,7702,1,775,471,60.77,86,323,62,0
Pct 7703 MB,Election Day,7703,1,178,0,0.00,0,0,0,0
Pct 7703 MB,VBM,7703,1,178,100,56.18,10,63,26,1
Pct 7704,Election Day,7704,1,1006,302,30.02,52,198,52,0
Pct 7704,VBM,7704,1,1006,579,57.55,93,430,56,0
Pct 7705,Election Day,7705,1,554,186,33.57,36,118,32,0
Pct 7705,VBM,7705,1,554,309,55.78,65,216,28,0
Pct 7706,Election Day,7706,1,853,282,33.06,42,190,50,0
Pct 7706,VBM,7706,1,853,491,57.56,83,344,64,0
Pct 7707,Election Day,7707,1,854,285,33.37,36,223,26,0
Pct 7707,VBM,7707,1,854,499,58.43,62,376,61,0
Pct 7708,Election Day,7708,1,894,231,25.84,29,156,46,0
Pct 7708,VBM,7708,1,894,552,61.74,73,420,59,0
Pct 7709,Election Day,7709,1,390,120,30.77,11,89,20,0
Pct 7709,VBM,7709,1,390,234,60.00,28,173,33,0
Pct 7711,Election Day,7711,1,789,223,28.26,30,150,43,0
Pct 7711,VBM,7711,1,789,462,58.56,58,342,61,1
Pct 7712,Election Day,7712,1,577,180,31.20,15,135,30,0
Pct 7712,VBM,7712,1,577,338,58.58,34,254,50,0
Pct 7801,Election Day,7801,1,975,309,31.69,17,244,48,0
Pct 7801,VBM,7801,1,975,655,67.18,48,511,96,0
Pct 7802,Election Day,7802,1,760,261,34.34,18,189,54,0
Pct 7802,VBM,7802,1,760,462,60.79,32,374,56,0
Pct 7803,Election Day,7803,1,827,200,24.18,15,156,29,0
Pct 7803,VBM,7803,1,827,574,69.41,42,472,60,0
Pct 7804,Election Day,7804,1,932,310,33.26,14,245,51,0
Pct 7804,VBM,7804,1,932,566,60.73,36,454,76,0
Pct 7805,Election Day,7805,1,852,260,30.52,22,205,33,0
Pct 7805,VBM,7805,1,852,501,58.80,35,399,67,0
Pct 7806,Election Day,7806,1,746,251,33.65,17,189,45,0
Pct 7806,VBM,7806,1,746,412,55.23,25,327,60,0
Pct 7807,Election Day,7807,1,774,293,37.86,22,223,48,0
Pct 7807,VBM,7807,1,774,378,48.84,20,308,50,0
Pct 7808,Election Day,7808,1,702,218,31.05,17,156,45,0
Pct 7808,VBM,7808,1,702,360,51.28,20,290,50,0
Pct 7809,Election Day,7809,1,1234,401,32.50,30,293,78,0
Pct 7809,VBM,7809,1,1234,690,55.92,66,537,87,0
Pct 7811,Election Day,7811,1,806,268,33.25,21,200,47,0
Pct 7811,VBM,7811,1,806,428,53.10,31,335,62,0
Pct 7812,Election Day,7812,1,892,275,30.83,30,194,51,0
Pct 7812,VBM,7812,1,892,477,53.48,40,389,48,0
Pct 7813,Election Day,7813,1,1061,362,34.12,26,256,80,0
Pct 7813,VBM,7813,1,1061,581,54.76,38,454,89,0
Pct 7814,Election Day,7814,1,919,298,32.43,36,186,76,0
Pct 7814,VBM,7814,1,919,369,40.15,43,272,53,1
Pct 7815,Election Day,7815,1,967,296,30.61,25,221,50,0
Pct 7815,VBM,7815,1,967,583,60.29,27,493,63,0
Pct 7816,Election Day,7816,1,896,268,29.91,18,195,55,0
Pct 7816,VBM,7816,1,896,555,61.94,29,472,54,0
Pct 7817,Election Day,7817,1,804,285,35.45,21,223,41,0
Pct 7817,VBM,7817,1,804,426,52.99,21,348,57,0
Pct 7818,Election Day,7818,1,889,271,30.48,22,209,40,0
Pct 7818,VBM,7818,1,889,516,58.04,28,426,62,0
Pct 7819,Election Day,7819,1,809,249,30.78,19,175,54,1
Pct 7819,VBM,7819,1,809,433,53.52,36,338,59,0
Pct 7821,Election Day,7821,1,998,286,28.66,15,226,45,0
Pct 7821,VBM,7821,1,998,630,63.13,53,510,67,0
Pct 7822,Election Day,7822,1,951,318,33.44,26,250,42,0
Pct 7822,VBM,7822,1,951,458,48.16,35,379,44,0
Pct 7823,Election Day,7823,1,928,294,31.68,9,243,42,0
Pct 7823,VBM,7823,1,928,512,55.17,40,412,60,0
Pct 7824,Election Day,7824,1,794,254,31.99,25,183,46,0
Pct 7824,VBM,7824,1,794,411,51.76,30,323,58,0
Pct 7825,Election Day,7825,1,578,216,37.37,17,165,34,0
Pct 7825,VBM,7825,1,578,305,52.77,16,250,39,0
Pct 7826,Election Day,7826,1,709,259,36.53,15,209,35,0
Pct 7826,VBM,7826,1,709,374,52.75,24,293,57,0
Pct 7827,Election Day,7827,1,931,313,33.62,27,222,64,0
Pct 7827,VBM,7827,1,931,445,47.80,35,333,77,0
Pct 7828,Election Day,7828,1,1053,311,29.53,36,231,44,0
Pct 7828,VBM,7828,1,1053,613,58.21,46,490,77,0
Pct 7829,Election Day,7829,1,904,269,29.76,27,197,45,0
Pct 7829,VBM,7829,1,904,572,63.27,43,486,43,0
Pct 7831,Election Day,7831,1,906,272,30.02,12,214,46,0
Pct 7831,VBM,7831,1,906,531,58.61,28,446,57,0
Pct 7832,Election Day,7832,1,824,247,29.98,19,186,42,0
Pct 7832,VBM,7832,1,824,512,62.14,32,418,62,0
Pct 7833,Election Day,7833,1,785,251,31.97,13,192,45,1
Pct 7833,VBM,7833,1,785,459,58.47,35,348,76,0
Pct 7834,Election Day,7834,1,901,321,35.63,29,228,64,0
Pct 7834,VBM,7834,1,901,454,50.39,19,355,80,0
Pct 7835,Election Day,7835,1,863,249,28.85,37,170,42,0
Pct 7835,VBM,7835,1,863,536,62.11,67,402,67,0
Pct 7836,Election Day,7836,1,990,290,29.29,31,223,36,0
Pct 7836,VBM,7836,1,990,613,61.92,66,482,65,0
Pct 7837,Election Day,7837,1,934,305,32.66,24,242,39,0
Pct 7837,VBM,7837,1,934,535,57.28,37,417,80,1
Pct 7838,Election Day,7838,1,933,250,26.80,28,189,33,0
Pct 7838,VBM,7838,1,933,589,63.13,45,480,64,0
Pct 7839,Election Day,7839,1,869,229,26.35,15,176,38,0
Pct 7839,VBM,7839,1,869,556,63.98,50,429,77,0
Pct 7841,Election Day,7841,1,947,309,32.63,18,230,61,0
Pct 7841,VBM,7841,1,947,530,55.97,34,408,88,0
Pct 7842,Election Day,7842,1,960,356,37.08,41,265,50,0
Pct 7842,VBM,7842,1,960,508,52.92,57,390,61,0
Pct 7843,Election Day,7843,1,802,272,33.92,20,198,54,0
Pct 7843,VBM,7843,1,802,407,50.75,35,316,56,0
Pct 7844,Election Day,7844,1,682,246,36.07,28,165,53,0
Pct 7844,VBM,7844,1,682,348,51.03,39,255,54,0
Pct 7845,Election Day,7845,1,869,288,33.14,25,220,43,0
Pct 7845,VBM,7845,1,869,495,56.96,38,397,60,0
Pct 7846,Election Day,7846,1,925,272,29.41,29,196,47,0
Pct 7846,VBM,7846,1,925,542,58.59,53,420,69,0
Pct 7847,Election Day,7847,1,960,284,29.58,27,208,49,0
Pct 7847,VBM,7847,1,960,559,58.23,45,441,73,0
Pct 7848,Election Day,7848,1,905,304,33.59,26,232,46,0
Pct 7848,VBM,7848,1,905,514,56.80,32,413,69,0
Pct 7849,Election Day,7849,1,967,318,32.89,23,247,48,0
Pct 7849,VBM,7849,1,967,546,56.46,51,436,59,0
Pct 7851,Election Day,7851,1,528,168,31.82,17,113,38,0
Pct 7851,VBM,7851,1,528,304,57.58,34,236,34,0
Pct 7852,Election Day,7852,1,644,179,27.80,23,132,24,0
Pct 7852,VBM,7852,1,644,405,62.89,44,315,46,0
Pct 7853,Election Day,7853,1,896,252,28.12,31,173,48,0
Pct 7853,VBM,7853,1,896,518,57.81,40,421,57,0
Pct 7854,Election Day,7854,1,933,302,32.37,25,211,66,0
Pct 7854,VBM,7854,1,933,523,56.06,44,403,76,0
Pct 7855,Election Day,7855,1,968,326,33.68,26,244,56,0
Pct 7855,VBM,7855,1,968,544,56.20,62,414,68,0
Pct 7856,Election Day,7856,1,849,289,34.04,18,233,38,0
Pct 7856,VBM,7856,1,849,480,56.54,32,390,58,0
Pct 7857,Election Day,7857,1,963,323,33.54,28,232,63,0
Pct 7857,VBM,7857,1,963,531,55.14,52,402,77,0
Pct 7858,Election Day,7858,1,791,275,34.77,25,190,60,0
Pct 7858,VBM,7858,1,791,399,50.44,25,315,58,1
Pct 7859,Election Day,7859,1,915,273,29.84,23,209,41,0
Pct 7859,VBM,7859,1,915,561,61.31,62,423,76,0
Pct 7861,Election Day,7861,1,881,268,30.42,28,203,37,0
Pct 7861,VBM,7861,1,881,508,57.66,43,401,64,0
Pct 7862,Election Day,7862,1,923,318,34.45,27,242,49,0
Pct 7862,VBM,7862,1,923,497,53.85,45,384,68,0
Pct 7863,Election Day,7863,1,939,348,37.06,23,271,54,0
Pct 7863,VBM,7863,1,939,471,50.16,42,354,75,0
Pct 7864,Election Day,7864,1,815,276,33.87,27,202,47,0
Pct 7864,VBM,7864,1,815,427,52.39,40,343,44,0
Pct 7865,Election Day,7865,1,853,274,32.12,26,198,50,0
Pct 7865,VBM,7865,1,853,480,56.27,54,346,80,0
Pct 7866,Election Day,7866,1,831,239,28.76,35,172,32,0
Pct 7866,VBM,7866,1,831,507,61.01,85,367,55,0
Pct 7867,Election Day,7867,1,946,308,32.56,31,230,47,0
Pct 7867,VBM,7867,1,946,514,54.33,49,408,57,0
Pct 7868,Election Day,7868,1,901,292,32.41,26,214,52,0
Pct 7868,VBM,7868,1,901,472,52.39,49,371,52,0
Pct 7869,Election Day,7869,1,874,304,34.78,31,222,50,1
Pct 7869,VBM,7869,1,874,485,55.49,41,387,56,1
Pct 7871,Election Day,7871,1,909,274,30.14,21,217,36,0
Pct 7871,VBM,7871,1,909,530,58.31,27,439,64,0
Pct 7872,Election Day,7872,1,902,313,34.70,32,239,42,0
Pct 7872,VBM,7872,1,902,506,56.10,46,399,61,0
Pct 7873,Election Day,7873,1,874,278,31.81,18,208,52,0
Pct 7873,VBM,7873,1,874,510,58.35,39,409,62,0
Pct 7874,Election Day,7874,1,482,167,34.65,16,118,33,0
Pct 7874,VBM,7874,1,482,241,50.00,10,195,36,0
Pct 7875,Election Day,7875,1,628,198,31.53,26,132,39,1
Pct 7875,VBM,7875,1,628,327,52.07,42,239,46,0
Pct 7901,Election Day,7901,1,1286,375,29.16,40,243,92,0
Pct 7901,VBM,7901,1,1286,577,44.87,45,429,102,1
Pct 7902,Election Day,7902,1,1064,327,30.73,33,224,70,0
Pct 7902,VBM,7902,1,1064,515,48.40,41,393,81,0
Pct 7903,Election Day,7903,1,929,242,26.05,25,156,61,0
Pct 7903,VBM,7903,1,929,410,44.13,46,300,63,1
Pct 7904,Election Day,7904,1,926,231,24.95,23,160,47,1
Pct 7904,VBM,7904,1,926,463,50.00,48,341,74,0
Pct 7905,Election Day,7905,1,851,299,35.14,29,213,57,0
Pct 7905,VBM,7905,1,851,419,49.24,44,320,55,0
Pct 7906,Election Day,7906,1,854,275,32.20,23,201,51,0
Pct 7906,VBM,7906,1,854,378,44.26,21,302,55,0
Pct 7907,Election Day,7907,1,991,346,34.91,24,241,81,0
Pct 7907,VBM,7907,1,991,488,49.24,26,381,81,0
Pct 7908,Election Day,7908,1,1008,310,30.75,30,204,76,0
Pct 7908,VBM,7908,1,1008,562,55.75,63,415,84,0
Pct 7909,Election Day,7909,1,787,280,35.58,18,212,50,0
Pct 7909,VBM,7909,1,787,364,46.25,21,280,63,0
Pct 7911,Election Day,7911,1,907,304,33.52,35,200,69,0
Pct 7911,VBM,7911,1,907,430,47.41,49,327,54,0
Pct 7912,Election Day,7912,1,1090,348,31.93,32,228,87,1
Pct 7912,VBM,7912,1,1090,526,48.26,46,393,87,0
Pct 7913,Election Day,7913,1,964,376,39.00,41,255,80,0
Pct 7913,VBM,7913,1,964,424,43.98,39,325,60,0
Pct 7914,Election Day,7914,1,895,315,35.20,23,225,67,0
Pct 7914,VBM,7914,1,895,437,48.83,33,323,80,1
Pct 7915,Election Day,7915,1,892,329,36.88,31,232,66,0
Pct 7915,VBM,7915,1,892,387,43.39,39,284,64,0
Pct 7916,Election Day,7916,1,953,307,32.21,24,225,58,0
Pct 7916,VBM,7916,1,953,461,48.37,41,348,72,0
Pct 7917,Election Day,7917,1,1073,389,36.25,40,243,105,1
Pct 7917,VBM,7917,1,1073,479,44.64,38,350,91,0
Pct 7918,Election Day,7918,1,860,304,35.35,19,215,69,1
Pct 7918,VBM,7918,1,860,393,45.70,40,295,58,0
Pct 7919,Election Day,7919,1,928,361,38.90,27,240,94,0
Pct 7919,VBM,7919,1,928,406,43.75,32,313,61,0
Pct 7921,Election Day,7921,1,970,293,30.21,36,201,56,0
Pct 7921,VBM,7921,1,970,401,41.34,55,295,51,0
Pct 7922,Election Day,7922,1,884,306,34.62,26,214,66,0
Pct 7922,VBM,7922,1,884,399,45.14,35,305,59,0
Pct 7923,Election Day,7923,1,930,335,36.02,32,233,70,0
Pct 7923,VBM,7923,1,930,354,38.06,30,276,47,1
Pct 7924,Election Day,7924,1,883,280,31.71,29,184,67,0
Pct 7924,VBM,7924,1,883,416,47.11,47,314,55,0
Pct 7925,Election Day,7925,1,591,196,33.16,24,139,32,1
Pct 7925,VBM,7925,1,591,287,48.56,25,212,50,0
Pct 7926,Election Day,7926,1,820,259,31.59,16,189,54,0
Pct 7926,VBM,7926,1,820,436,53.17,37,343,56,0
Pct 7927,Election Day,7927,1,782,283,36.19,25,202,56,0
Pct 7927,VBM,7927,1,782,405,51.79,26,310,69,0
Pct 7928,Election Day,7928,1,976,323,33.09,24,228,71,0
Pct 7928,VBM,7928,1,976,526,53.89,40,417,69,0
Pct 7929,Election Day,7929,1,871,290,33.30,25,212,53,0
Pct 7929,VBM,7929,1,871,490,56.26,32,403,55,0
Pct 7931,Election Day,7931,1,765,252,32.94,9,198,45,0
Pct 7931,VBM,7931,1,765,435,56.86,28,356,51,0
Pct 7932,Election Day,7932,1,557,173,31.06,14,122,37,0
Pct 7932,VBM,7932,1,557,309,55.48,21,252,36,0
Pct 7933 MB,Election Day,7933,1,8,0,0.00,0,0,0,0
Pct 7933 MB,VBM,7933,1,8,7,87.50,1,5,1,0
Pct 7934,Election Day,7934,1,888,289,32.55,20,194,72,3
Pct 7934,VBM,7934,1,888,483,54.39,33,386,64,0
Pct 7935,Election Day,7935,1,949,341,35.93,20,262,59,0
Pct 7935,VBM,7935,1,949,510,53.74,41,405,64,0
Pct 7936,Election Day,7936,1,876,325,37.10,35,239,51,0
Pct 7936,VBM,7936,1,876,439,50.11,28,345,66,0
Pct 7937,Election Day,7937,1,909,325,35.75,19,225,81,0
Pct 7937,VBM,7937,1,909,455,50.06,35,359,61,0
Pct 7938,Election Day,7938,1,808,295,36.51,31,185,78,1
Pct 7938,VBM,7938,1,808,341,42.20,25,263,53,0
Pct 7939,Election Day,7939,1,674,262,38.87,12,188,62,0
Pct 7939,VBM,7939,1,674,331,49.11,23,264,44,0
Pct 7941,Election Day,7941,1,790,261,33.04,23,186,52,0
Pct 7941,VBM,7941,1,790,394,49.87,33,299,62,0
Pct 7942,Election Day,7942,1,950,299,31.47,40,175,83,1
Pct 7942,VBM,7942,1,950,470,49.47,35,351,83,1
Pct 7943,Election Day,7943,1,938,310,33.05,42,206,62,0
Pct 7943,VBM,7943,1,938,470,50.11,52,365,53,0
Pct 7944,Election Day,7944,1,830,305,36.75,28,212,65,0
Pct 7944,VBM,7944,1,830,387,46.63,47,291,49,0
Pct 7945,Election Day,7945,1,926,208,22.46,32,128,48,0
Pct 7945,VBM,7945,1,926,455,49.14,52,342,61,0
Pct 7946,Election Day,7946,1,976,225,23.05,35,142,48,0
Pct 7946,VBM,7946,1,976,491,50.31,84,337,70,0
Pct 7947,Election Day,7947,1,964,257,26.66,46,152,59,0
Pct 7947,VBM,7947,1,964,460,47.72,75,305,80,0
Pct 7948,Election Day,7948,1,933,270,28.94,44,163,63,0
Pct 7948,VBM,7948,1,933,451,48.34,73,316,61,1
Pct 7949,Election Day,7949,1,594,142,23.91,27,76,39,0
Pct 7949,VBM,7949,1,594,291,48.99,47,207,37,0
Pct 7951,Election Day,7951,1,841,189,22.47,30,119,40,0
Pct 7951,VBM,7951,1,841,456,54.22,73,316,66,1
Pct 7952,Election Day,7952,1,865,221,25.55,43,133,45,0
Pct 7952,VBM,7952,1,865,430,49.71,64,299,67,0
Pct 7953,Election Day,7953,1,853,216,25.32,29,147,40,0
Pct 7953,VBM,7953,1,853,461,54.04,82,315,64,0
Pct 7954 MB,Election Day,7954,1,0,0,0.00,0,0,0,0
Pct 7954 MB,VBM,7954,1,0,0,0.00,0,0,0,0
Pct 7955,Election Day,7955,1,899,218,24.25,25,145,47,1
Pct 7955,VBM,7955,1,899,466,51.84,71,334,61,0
Pct 7956,Election Day,7956,1,779,199,25.55,36,116,47,0
Pct 7956,VBM,7956,1,779,380,48.78,56,266,57,1
Pct 7957,Election Day,7957,1,664,188,28.31,25,123,40,0
Pct 7957,VBM,7957,1,664,336,50.60,41,249,46,0
Pct 7958 MB,Election Day,7958,1,291,8,2.75,2,3,3,0
Pct 7958 MB,VBM,7958,1,291,191,65.64,28,140,23,0
Pct 9900 MB,Election Day,9900,1,0,0,0.00,0,0,0,0
Pct 9900 MB,VBM,9900,1,0,0,0.00,0,0,0,0
Pct 9901 MB,Election Day,9901,1,0,0,0.00,0,0,0,0
Pct 9901 MB,VBM,9901,1,0,0,0.00,0,0,0,0
Pct 9902 MB,Election Day,9902,1,0,0,0.00,0,0,0,0
Pct 9902 MB,VBM,9902,1,0,0,0.00,0,0,0,0