precinct,ballot_type,registered,ballots_cast,turnout,RICHARD_W._STONE,JOHN-MARC_CHANDONIA,BARRY_HERMANSON,MIKE_MURPHY,WRITE-IN,over_votes,under_votes
1101,Election_Day,3,1,33.33,,,1,,,,5
1101,VBM,3,0,0,,,,,,,
1102,Election_Day,9,2,22.22,1,1,2,1,,,7
1102,VBM,9,1,11.11,,,,,,,6
1103,Election_Day,10,3,30,,1,,1,,,16
1103,VBM,10,3,30,1,1,2,1,,,13
1104/1105,Election_Day,10,1,10,,,1,,,,5
1104/1105,VBM,10,5,50,,,1,1,,,28
1106,Election_Day,7,2,28.57,,,,,,,12
1106,VBM,7,1,14.29,,,,,,,6
1107,Election_Day,3,1,33.33,,,,1,,,5
1107,VBM,3,0,0,,,,,,,
1108,Election_Day,5,0,0,,,,,,,
1108,VBM,5,2,40,,,1,,,,11
1109,Election_Day,5,1,20,,,,,,,6
1109,VBM,5,3,60,1,,3,1,,,13
1111,Election_Day,10,3,30,1,2,1,1,,,13
1111,VBM,10,5,50,1,1,4,1,,,23
1112,Election_Day,2,0,0,,,,,,,
1112,VBM,2,0,0,,,,,,,
1113,Election_Day,7,2,28.57,2,2,2,2,,,4
1113,VBM,7,2,28.57,,,,,,,12
1114,Election_Day,6,1,16.67,,,,,,,6
1114,VBM,6,0,0,,,,,,,
1115,Election_Day,4,1,25,,,,,,,6
1115,VBM,4,1,25,1,1,1,1,,,2
1116,Election_Day,5,1,20,,,,,,,6
1116,VBM,5,2,40,1,1,1,1,,,8
1117,Election_Day,4,1,25,,,,,,,6
1117,VBM,4,1,25,,,,,,,6
1118,Election_Day,11,5,45.45,1,2,2,2,,,23
1118,VBM,11,2,18.18,,1,1,1,,,9
1119,Election_Day,8,1,12.5,,1,,1,,,4
1119,VBM,8,0,0,,,,,,,
1121,Election_Day,1,0,0,,,,,,,
1121,VBM,1,0,0,,,,,,,
1122,Election_Day,4,2,50,1,1,1,1,,,8
1122,VBM,4,0,0,,,,,,,
1123,Election_Day,4,0,0,,,,,,,
1123,VBM,4,1,25,,1,,1,,,4
1124,Election_Day,6,0,0,,,,,,,
1124,VBM,6,0,0,,,,,,,
1125,Election_Day,13,2,15.38,,1,,,,,11
1125,VBM,13,1,7.69,1,1,1,1,,,2
1126,Election_Day,2,0,0,,,,,,,
1126,VBM,2,0,0,,,,,,,
1127,Election_Day,1,0,0,,,,,,,
1127,VBM,1,0,0,,,,,,,
1128,Election_Day,5,0,0,,,,,,,
1128,VBM,5,2,40,,1,1,,,,10
1129,Election_Day,4,2,50,,,,1,,,11
1129,VBM,4,0,0,,,,,,,
1131,Election_Day,2,0,0,,,,,,,
1131,VBM,2,0,0,,,,,,,
1132,Election_Day,5,0,0,,,,,,,
1132,VBM,5,2,40,1,1,1,2,,,7
1133,Election_Day,1,0,0,,,,,,,
1133,VBM,1,0,0,,,,,,,
1134,Election_Day,4,1,25,,,,,,,6
1134,VBM,4,0,0,,,,,,,
1135,Election_Day,0,0,0,,,,,,,
1135,VBM,0,0,0,,,,,,,
1136,Election_Day,7,2,28.57,,,,1,,,11
1136,VBM,7,2,28.57,,,1,1,,,10
1141,Election_Day,12,0,0,,,,,,,
1141,VBM,12,3,25,,,2,1,5,,10
1142,Election_Day,8,4,50,1,,,1,,,22
1142,VBM,8,3,37.5,1,1,3,1,2,,10
1143,Election_Day,7,1,14.29,,,,1,,,5
1143,VBM,7,3,42.86,1,,1,2,,,14
1144,Election_Day,9,2,22.22,1,2,1,2,,,6
1144,VBM,9,1,11.11,,,,,,,6
1145,Election_Day,12,4,33.33,,,1,2,,,21
1145,VBM,12,4,33.33,1,1,3,1,,,18
1146,Election_Day,13,4,30.77,,1,1,1,,,21
1146,VBM,13,2,15.38,1,1,1,2,,,7
1147,Election_Day,14,4,28.57,,,2,1,,,21
1147,VBM,14,5,35.71,,2,,1,,,27
1148,Election_Day,11,2,18.18,,,,1,,,11
1148,VBM,11,2,18.18,,,,,,,12
1149,Election_Day,13,2,15.38,,1,,1,,,10
1149,VBM,13,2,15.38,,,,1,,,11
1151,Election_Day,0,0,0,,,,,,,
1151,VBM,0,0,0,,,,,,,
1152,Election_Day,7,0,0,,,,,,,
1152,VBM,7,1,14.29,1,1,1,1,,,2
1153,Election_Day,4,1,25,,,,1,,,5
1153,VBM,4,0,0,,,,,,,
1154,Election_Day,0,0,0,,,,,,,
1154,VBM,0,0,0,,,,,,,
7001,Election_Day,9,3,33.33,,,,,,,18
7001,VBM,9,2,22.22,1,,2,1,,,8
7002,Election_Day,10,1,10,,,,,,,6
7002,VBM,10,3,30,1,,,,,,17
7003,Election_Day,13,2,15.38,,1,1,,,,10
7003,VBM,13,4,30.77,,,1,,,,23
7004,Election_Day,11,2,18.18,,,1,,,,11
7004,VBM,11,4,36.36,,,2,,,,22
7005,Election_Day,12,2,16.67,,,,,,,12
7005,VBM,12,2,16.67,,,1,,,,11
7006,Election_Day,19,3,15.79,,,1,,,,17
7006,VBM,19,4,21.05,1,1,2,1,,,19
7007,Election_Day,16,5,31.25,1,1,2,1,,,25
7007,VBM,16,5,31.25,,,2,1,,,27
7008,Election_Day,10,3,30,1,1,1,1,,,14
7008,VBM,10,4,40,,,3,2,,,19
7009,Election_Day,10,1,10,,,,1,,,5
7009,VBM,10,4,40,,,,,,,24
7011,Election_Day,12,2,16.67,,,,,,,12
7011,VBM,12,1,8.33,,,,1,,,5
7012,Election_Day,8,1,12.5,1,1,1,1,,,2
7012,VBM,8,3,37.5,1,1,2,1,,,13
7013,Election_Day,7,2,28.57,,1,,,,,11
7013,VBM,7,2,28.57,,,1,,,,11
7014,Election_Day,16,1,6.25,,1,,,,,5
7014,VBM,16,3,18.75,1,1,3,1,,,12
7015,Election_Day,2,0,0,,,,,,,
7015,VBM,2,1,50,,,,,,,6
7016,Election_Day,5,0,0,,,,,,,
7016,VBM,5,1,20,,,,1,,,5
7017,Election_Day,2,1,50,,,,1,,,5
7017,VBM,2,2,100,,1,,1,,,10
7018,Election_Day,3,1,33.33,,,,,,,6
7018,VBM,3,0,0,,,,,,,
7019,Election_Day,7,1,14.29,,,,1,,,5
7019,VBM,7,4,57.14,1,1,3,1,,,18
7021,Election_Day,7,1,14.29,,,,,,,6
7021,VBM,7,2,28.57,,,1,,,,11
7022,Election_Day,3,0,0,,,,,,,
7022,VBM,3,1,33.33,,,,,,,6
7023,Election_Day,6,3,50,,,,1,,,17
7023,VBM,6,1,16.67,,,1,,,,5
7024,Election_Day,0,0,0,,,,,,,
7024,VBM,0,0,0,,,,,,,
7025,Election_Day,3,0,0,,,,,,,
7025,VBM,3,0,0,,,,,,,
7026,Election_Day,4,0,0,,,,,,,
7026,VBM,4,2,50,,,1,,1,,10
7027,Election_Day,5,0,0,,,,,,,
7027,VBM,5,2,40,,,,1,,,11
7028,Election_Day,6,2,33.33,,,2,,,,10
7028,VBM,6,1,16.67,,,,,,,6
7029,Election_Day,2,0,0,,,,,,,
7029,VBM,2,1,50,,,1,,,,5
7030,Election_Day,1,0,0,,,,,,,
7030,VBM,1,0,0,,,,,,,
7031,Election_Day,1,0,0,,,,,,,
7031,VBM,1,1,100,1,1,1,1,,,2
7032,Election_Day,6,1,16.67,,,,1,,,5
7032,VBM,6,0,0,,,,,,,
7033,Election_Day,5,2,40,,,,,1,,11
7033,VBM,5,0,0,,,,,,,
7034,Election_Day,0,0,0,,,,,,,
7034,VBM,0,0,0,,,,,,,
7035,Election_Day,1,1,100,,,,,,,6
7035,VBM,1,0,0,,,,,,,
7036,Election_Day,1,1,100,,,,,,,6
7036,VBM,1,1,100,,,,,,,6
7037,Election_Day,2,0,0,,,,,,,
7037,VBM,2,0,0,,,,,,,
7038,Election_Day,5,1,20,,,,1,,,5
7038,VBM,5,1,20,,,1,,,,5
7039,Election_Day,1,1,100,,,,,,,6
7039,VBM,1,1,100,,,,,,,6
7041,Election_Day,0,0,0,,,,,,,
7041,VBM,0,0,0,,,,,,,
7042,Election_Day,2,0,0,,,,,,,
7042,VBM,2,1,50,,,,,1,,5
7043,Election_Day,3,2,66.67,,,1,1,,,10
7043,VBM,3,1,33.33,1,1,1,,,,3
7044,Election_Day,1,1,100,,,,,,,6
7044,VBM,1,0,0,,,,,,,
7045,Election_Day,3,0,0,,,,,,,
7045,VBM,3,1,33.33,,1,,1,,,4
7046,Election_Day,4,0,0,,,,,,,
7046,VBM,4,0,0,,,,,,,
7047,Election_Day,4,2,50,,1,1,,,,10
7047,VBM,4,1,25,,,,,,,6
7048,Election_Day,2,0,0,,,,,,,
7048,VBM,2,0,0,,,,,,,
7049,Election_Day,4,0,0,,,,,,,
7049,VBM,4,0,0,,,,,,,
7051,Election_Day,0,0,0,,,,,,,
7051,VBM,0,0,0,,,,,,,
7052,Election_Day,2,0,0,,,,,,,
7052,VBM,2,1,50,1,1,1,1,,,2
7053,Election_Day,0,0,0,,,,,,,
7053,VBM,0,0,0,,,,,,,
7054,Election_Day,2,0,0,,,,,,,
7054,VBM,2,1,50,,,1,1,,,4
7101,Election_Day,2,1,50,,1,,1,,,4
7101,VBM,2,0,0,,,,,,,
7201,Election_Day,5,4,80,2,2,3,2,,,15
7201,VBM,5,0,0,,,,,,,
7202,Election_Day,3,0,0,,,,,,,
7202,VBM,3,0,0,,,,,,,
7203,Election_Day,5,2,40,,1,,,,,11
7203,VBM,5,0,0,,,,,,,
7204,Election_Day,3,1,33.33,,,1,,,,5
7204,VBM,3,2,66.67,,,,,,,12
7205,Election_Day,6,1,16.67,,,,,,,6
7205,VBM,6,2,33.33,1,1,2,1,1,,6
7206,Election_Day,2,0,0,,,,,,,
7206,VBM,2,1,50,1,1,1,1,,,2
7207,Election_Day,2,0,0,,,,,,,
7207,VBM,2,0,0,,,,,,,
7208,Election_Day,2,0,0,,,,,,,
7208,VBM,2,2,100,2,1,1,1,,,7
7209,Election_Day,1,1,100,,,1,,,,5
7209,VBM,1,0,0,,,,,,,
7301,Election_Day,1,1,100,,,,1,,,5
7301,VBM,1,0,0,,,,,,,
7302,Election_Day,1,0,0,,,,,,,
7302,VBM,1,0,0,,,,,,,
7303,Election_Day,3,0,0,,,,,,,
7303,VBM,3,2,66.67,1,,,1,,,10
7304,Election_Day,4,2,50,,,1,1,,,10
7304,VBM,4,1,25,1,,,,,,5
7305,Election_Day,8,1,12.5,,,,,,,6
7305,VBM,8,0,0,,,,,,,
7306,Election_Day,8,1,12.5,,,1,1,,,4
7306,VBM,8,3,37.5,,,,1,,,17
7307,Election_Day,5,2,40,,1,,,,,11
7307,VBM,5,2,40,,,1,,,,11
7308,Election_Day,7,4,57.14,,,,,1,,23
7308,VBM,7,0,0,,,,,,,
7309,Election_Day,5,0,0,,,,,,,
7309,VBM,5,1,20,,,,1,,,5
7311,Election_Day,7,1,14.29,,,,,,,6
7311,VBM,7,1,14.29,,,,,,,6
7312,Election_Day,3,0,0,,,,,,,
7312,VBM,3,2,66.67,,,1,,2,,9
7313,Election_Day,3,3,100,1,1,2,2,,,12
7313,VBM,3,0,0,,,,,,,
7314,Election_Day,4,1,25,,,1,,,,5
7314,VBM,4,1,25,,,,1,,,5
7315,Election_Day,7,2,28.57,,,,,,,12
7315,VBM,7,0,0,,,,,,,
7316,Election_Day,11,1,9.09,,,,,,,6
7316,VBM,11,2,18.18,1,1,2,1,,,7
7317,Election_Day,8,0,0,,,,,,,
7317,VBM,8,2,25,,,1,,,,11
7318,Election_Day,8,0,0,,,,,,,
7318,VBM,8,2,25,1,1,2,1,,,7
7319,Election_Day,6,2,33.33,,,1,,,,11
7319,VBM,6,0,0,,,,,,,
7321,Election_Day,3,2,66.67,,1,,,,,11
7321,VBM,3,1,33.33,,,,,,,6
7322,Election_Day,1,0,0,,,,,,,
7322,VBM,1,0,0,,,,,,,
7323,Election_Day,4,3,75,,,1,1,,,16
7323,VBM,4,1,25,,,1,,,,5
7324,Election_Day,4,1,25,1,1,1,1,,,2
7324,VBM,4,1,25,,,1,,,,5
7325,Election_Day,4,2,50,,,1,1,,,10
7325,VBM,4,0,0,,,,,,,
7326,Election_Day,5,1,20,,,,,,,6
7326,VBM,5,1,20,,,,,,,6
7327,Election_Day,2,0,0,,,,,,,
7327,VBM,2,0,0,,,,,,,
7328,Election_Day,2,0,0,,,,,,,
7328,VBM,2,0,0,,,,,,,
7329,Election_Day,1,0,0,,,,,,,
7329,VBM,1,0,0,,,,,,,
7331,Election_Day,3,0,0,,,,,,,
7331,VBM,3,1,33.33,,,,,,,6
7332,Election_Day,9,1,11.11,,,1,,,,5
7332,VBM,9,3,33.33,1,1,2,1,,,13
7333,Election_Day,7,4,57.14,,,1,2,,,21
7333,VBM,7,1,14.29,,,,1,,,5
7334,Election_Day,8,3,37.5,,,,2,,,16
7334,VBM,8,4,50,1,1,2,1,2,,17
7335,Election_Day,4,1,25,,,,,,,6
7335,VBM,4,1,25,,,1,,,,5
7336,Election_Day,5,1,20,1,,,,,,5
7336,VBM,5,1,20,,1,,,,,5
7337,Election_Day,3,1,33.33,,,,,,,6
7337,VBM,3,0,0,,,,,,,
7338,Election_Day,2,1,50,,,1,,,,5
7338,VBM,2,0,0,,,,,,,
7339,Election_Day,10,0,0,,,,,,,
7339,VBM,10,1,10,1,1,1,1,,,2
7341,Election_Day,6,2,33.33,,,1,,,,11
7341,VBM,6,1,16.67,,,,,,,6
7342,Election_Day,4,0,0,,,,,,,
7342,VBM,4,2,50,,,2,,,,10
7343,Election_Day,5,2,40,,,,,,,12
7343,VBM,5,2,40,,,1,,,,11
7344,Election_Day,5,1,20,,,,,,,6
7344,VBM,5,1,20,,,,,,,6
7345,Election_Day,8,2,25,1,,,,,,11
7345,VBM,8,2,25,,1,,1,,,10
7346,Election_Day,12,1,8.33,,,1,,3,,2
7346,VBM,12,2,16.67,,2,,,,,10
7347,Election_Day,16,1,6.25,,1,,,,,5
7347,VBM,16,3,18.75,1,1,1,2,,,13
7348,Election_Day,6,1,16.67,,,1,,,,5
7348,VBM,6,0,0,,,,,,,
7349,Election_Day,9,2,22.22,1,2,1,1,,,7
7349,VBM,9,1,11.11,,,1,,,,5
7501,Election_Day,3,0,0,,,,,,,
7501,VBM,3,0,0,,,,,,,
7502,Election_Day,6,0,0,,,,,,,
7502,VBM,6,2,33.33,,,1,,,,11
7503,Election_Day,2,0,0,,,,,,,
7503,VBM,2,1,50,,,,,,,6
7504,Election_Day,2,0,0,,,,,,,
7504,VBM,2,0,0,,,,,,,
7505,Election_Day,4,1,25,,,,1,,,5
7505,VBM,4,2,50,1,1,1,1,,,8
7506,Election_Day,1,0,0,,,,,,,
7506,VBM,1,0,0,,,,,,,
7507,Election_Day,7,0,0,,,,,,,
7507,VBM,7,2,28.57,1,1,2,1,1,,6
7508,Election_Day,10,4,40,,1,1,,,,22
7508,VBM,10,3,30,1,1,3,1,,,12
7509/7511,Election_Day,5,1,20,,,,,,,6
7509/7511,VBM,5,1,20,,,,,2,,4
7512,Election_Day,6,1,16.67,,,,,,,6
7512,VBM,6,3,50,2,2,3,2,,,9
7513,Election_Day,5,0,0,,,,,,,
7513,VBM,5,3,60,,,1,,,,17
7514,Election_Day,2,0,0,,,,,,,
7514,VBM,2,0,0,,,,,,,
7515,Election_Day,1,0,0,,,,,,,
7515,VBM,1,0,0,,,,,,,
7516,Election_Day,4,1,25,,1,,,,,5
7516,VBM,4,2,50,1,1,2,2,,,6
7517,Election_Day,7,1,14.29,,,,,,,6
7517,VBM,7,3,42.86,1,1,2,1,,,13
7518,Election_Day,16,6,37.5,3,3,6,3,,,21
7518,VBM,16,0,0,,,,,,,
7519,Election_Day,10,0,0,,,,,,,
7519,VBM,10,2,20,,,1,1,,,10
7521,Election_Day,16,2,12.5,1,1,2,1,,,7
7521,VBM,16,1,6.25,,,1,,,,5
7522,Election_Day,13,4,30.77,1,1,1,2,,,19
7522,VBM,13,3,23.08,,,3,,,,15
7523,Election_Day,14,5,35.71,,,1,3,,,26
7523,VBM,14,3,21.43,2,3,2,2,,,9
7524,Election_Day,5,0,0,,,,,,,
7524,VBM,5,0,0,,,,,,,
7525,Election_Day,8,1,12.5,,,,,,,6
7525,VBM,8,5,62.5,1,2,2,2,,,23
7526,Election_Day,9,3,33.33,,,2,,,,16
7526,VBM,9,0,0,,,,,,,
7527/7528,Election_Day,4,2,50,,1,1,,,,10
7527/7528,VBM,4,1,25,,,1,,,,5
7529,Election_Day,21,6,28.57,,,1,1,,,34
7529,VBM,21,2,9.52,,,,1,,,11
7531,Election_Day,9,2,22.22,,,,,,,12
7531,VBM,9,0,0,,,,,,,
7532,Election_Day,6,1,16.67,,,,,,,6
7532,VBM,6,0,0,,,,,,,
7533,Election_Day,18,4,22.22,,,1,1,,,22
7533,VBM,18,2,11.11,2,2,2,2,,,4
7534,Election_Day,18,6,33.33,1,2,2,1,,,30
7534,VBM,18,3,16.67,,,1,,,,17
7535,Election_Day,12,1,8.33,,,,,,,6
7535,VBM,12,6,50,1,1,3,2,,,29
7536,Election_Day,13,5,38.46,,1,,,,,29
7536,VBM,13,1,7.69,,,,,,,6
7537,Election_Day,9,1,11.11,,,,,,,6
7537,VBM,9,1,11.11,,,,,,,6
7538,Election_Day,14,5,35.71,1,1,3,1,,,24
7538,VBM,14,2,14.29,1,1,2,1,,,7
7539,Election_Day,16,3,18.75,1,1,1,1,,,14
7539,VBM,16,4,25,1,1,1,1,,,20
7541,Election_Day,17,4,23.53,,1,1,,,,22
7541,VBM,17,5,29.41,,,2,1,,,27
7542,Election_Day,15,5,33.33,,,2,1,,,27
7542,VBM,15,2,13.33,1,1,1,1,,,8
7543,Election_Day,12,1,8.33,,1,,,,,5
7543,VBM,12,1,8.33,,1,,,,,5
7544,Election_Day,11,1,9.09,,,,1,,,5
7544,VBM,11,1,9.09,,,,1,,,5
7545,Election_Day,10,0,0,,,,,,,
7545,VBM,10,1,10,,,,,,,6
7546,Election_Day,13,5,38.46,3,2,3,2,,,20
7546,VBM,13,1,7.69,,,,,,,6
7547,Election_Day,13,3,23.08,,,,,,,18
7547,VBM,13,3,23.08,,,1,,,,17
7548,Election_Day,11,2,18.18,,,1,,,,11
7548,VBM,11,1,9.09,,,,,,,6
7549,Election_Day,14,3,21.43,1,,2,1,,,14
7549,VBM,14,4,28.57,2,2,2,1,,,17
7551,Election_Day,7,3,42.86,1,1,1,1,,,14
7551,VBM,7,2,28.57,1,1,1,1,,,8
7552,Election_Day,11,4,36.36,1,1,1,1,,,20
7552,VBM,11,1,9.09,,,,,,,6
7553,Election_Day,2,0,0,,,,,,,
7553,VBM,2,0,0,,,,,,,
7554,Election_Day,8,2,25,,,,,,,12
7554,VBM,8,0,0,,,,,,,
7555,Election_Day,15,5,33.33,1,1,3,1,,,24
7555,VBM,15,5,33.33,1,2,1,2,,,24
7556/7557,Election_Day,10,1,10,,,,,,,6
7556/7557,VBM,10,3,30,,,1,,,,17
7601,Election_Day,14,3,21.43,1,1,1,2,,,13
7601,VBM,14,0,0,,,,,,,
