precinct,ballot_type,registered,ballots_cast,turnout,ROBERT_ORNELAS,ALAN_SPEARS,WILEY_DRAKE,JAMES_HEDGES,THOMAS_HOEFLING,ARTHUR_HARRIS,J.R._MYERS,WRITE-IN,over_votes,under_votes
7555,Election_Day,11,3,27.27,,,,,,,,1,,2
7555,VBM,11,1,9.09,,,,,,1,,,,
7556/7557,Election_Day,15,1,6.67,,,,,,,,,,1
7556/7557,VBM,15,5,33.33,,,1,,,1,,,,3
7601,Election_Day,28,5,17.86,,,,1,,,,3,,1
7601,VBM,28,4,14.29,,,,,1,1,,2,,
7602,Election_Day,20,2,10,,,,,1,,,,,1
7602,VBM,20,9,45,2,2,2,,,1,,2,,
7603,Election_Day,15,2,13.33,,,,,,,,1,,1
7603,VBM,15,4,26.67,,,,,,,,3,,1
7604,Election_Day,21,4,19.05,1,,,1,,,,2,,
7604,VBM,21,9,42.86,,,,1,2,1,,1,,4
7605,Election_Day,25,2,8,,,,,,,,,,2
7605,VBM,25,2,8,,,,,,,,,,2
7606,Election_Day,15,2,13.33,,,,,,,,1,,1
7606,VBM,15,10,66.67,,,1,1,,1,,4,,3
7607,Election_Day,17,5,29.41,,,1,,,1,,2,,1
7607,VBM,17,4,23.53,,,,,,,,2,,2
7608,Election_Day,8,0,0,,,,,,,,,,
7608,VBM,8,5,62.5,1,,1,,,1,,1,,1
7609,Election_Day,23,2,8.7,,,,,,1,,,,1
7609,VBM,23,8,34.78,1,1,,,,,,5,,1
7611,Election_Day,21,1,4.76,,,,,,,,1,,
7611,VBM,21,9,42.86,,,,,,,1,2,,6
7612,Election_Day,17,1,5.88,,,,,,,,,,1
7612,VBM,17,3,17.65,,,3,,,,,,,
7613,Election_Day,19,7,36.84,,1,,,,,,4,,2
7613,VBM,19,6,31.58,,,,,,,,1,,5
7614,Election_Day,14,4,28.57,1,,,,,,,2,,1
7614,VBM,14,1,7.14,,1,,,,,,,,
7615,Election_Day,30,3,10,,,1,,,,,2,,
7615,VBM,30,7,23.33,,,,1,,,1,5,,
7616,Election_Day,10,0,0,,,,,,,,,,
7616,VBM,10,6,60,,,,,,1,,4,,1
7617,Election_Day,21,1,4.76,,,,,,,,,,1
7617,VBM,21,9,42.86,2,1,,2,3,,,1,,
7618,Election_Day,6,1,16.67,,,,,,,,,,1
7618,VBM,6,6,100,1,,1,,,1,,1,,2
7619,Election_Day,32,2,6.25,,,,,,,,,,2
7619,VBM,32,7,21.88,,,,1,,1,,1,,4
7621,Election_Day,19,1,5.26,1,,,,,,,,,
7621,VBM,19,1,5.26,1,,,,,,,,,
7622,Election_Day,17,0,0,,,,,,,,,,
7622,VBM,17,2,11.76,1,,,,,1,,,,
7623,Election_Day,16,1,6.25,,,,,,,,1,,
7623,VBM,16,5,31.25,1,1,,,,,,1,,2
7624,Election_Day,22,3,13.64,,,,1,,1,1,,,
7624,VBM,22,3,13.64,1,,,,,,,1,,1
7625,Election_Day,12,2,16.67,,,1,,,1,,,,
7625,VBM,12,4,33.33,,,1,1,,,,1,,1
7626,Election_Day,17,2,11.76,,,,,,,,,,2
7626,VBM,17,4,23.53,,,,,,,,2,,2
7627,Election_Day,24,0,0,,,,,,,,,,
7627,VBM,24,10,41.67,,,,1,,1,,3,,5
7628,Election_Day,17,4,23.53,,,,,,,,,,4
7628,VBM,17,6,35.29,1,,,,,,,5,,
7629,Election_Day,8,1,12.5,,,,,,,,,,1
7629,VBM,8,3,37.5,,,,,,,,2,,1
7631,Election_Day,12,0,0,,,,,,,,,,
7631,VBM,12,6,50,,1,,,,,,2,,3
7632,Election_Day,7,2,28.57,,,,,,,,1,,1
7632,VBM,7,2,28.57,,,,,1,,,1,,
7633,Election_Day,7,0,0,,,,,,,,,,
7633,VBM,7,3,42.86,,,,1,,,,2,,
7634,Election_Day,13,1,7.69,,,,1,,,,,,
7634,VBM,13,1,7.69,,,,,,,,1,,
7635,Election_Day,14,1,7.14,,,,,1,,,,,
7635,VBM,14,4,28.57,,,,,,,,2,,2
7636,Election_Day,10,5,50,,3,,,,,,1,,1
7636,VBM,10,0,0,,,,,,,,,,
7637,Election_Day,11,0,0,,,,,,,,,,
7637,VBM,11,4,36.36,,,,,,,,2,,2
7638,Election_Day,21,4,19.05,,,1,,,,,1,,2
7638,VBM,21,8,38.1,,,,,,,,5,,3
7639,Election_Day,18,6,33.33,,,1,,1,,,,,4
7639,VBM,18,6,33.33,,,,,,,,3,,3
7641,Election_Day,18,1,5.56,,,,1,,,,,,
7641,VBM,18,7,38.89,1,,,,,,,2,,4
7642,Election_Day,16,2,12.5,,,,,,,,,,2
7642,VBM,16,13,81.25,,,1,,2,1,,7,,2
7643,Election_Day,9,0,0,,,,,,,,,,
7643,VBM,9,3,33.33,,,2,,,,,,,1
7644,Election_Day,8,2,25,,,,,,1,,1,,
7644,VBM,8,0,0,,,,,,,,,,
7645,Election_Day,12,2,16.67,,1,,,,,,,,1
7645,VBM,12,3,25,,,,,,,,2,,1
7646,Election_Day,26,3,11.54,,,,,,,,1,,2
7646,VBM,26,4,15.38,1,,,,,,,3,,
7647,Election_Day,21,2,9.52,,1,,,,,,,,1
7647,VBM,21,4,19.05,,,,,,,,3,,1
7648,Election_Day,0,0,0,,,,,,,,,,
7648,VBM,0,0,0,,,,,,,,,,
7701,Election_Day,19,5,26.32,,,,,,1,,3,,1
7701,VBM,19,5,26.32,,,,,,,,3,,2
7702,Election_Day,10,2,20,,,,,,,,1,,1
7702,VBM,10,3,30,,,,,,,,1,,2
7703,Election_Day,9,0,0,,,,,,,,,,
7703,VBM,9,3,33.33,1,,,,,,1,1,,
7704,Election_Day,20,3,15,,,,,,,,1,,2
7704,VBM,20,7,35,,1,,,,,,3,,3
7705,Election_Day,9,3,33.33,,,,,,,,,,3
7705,VBM,9,4,44.44,,,,,,,,1,,3
7706,Election_Day,12,5,41.67,,,,,,1,,1,,3
7706,VBM,12,3,25,,,,,,,,2,,1
7707,Election_Day,11,4,36.36,,,,,1,,,2,,1
7707,VBM,11,8,72.73,,,,,,,,2,,6
7708,Election_Day,14,4,28.57,,1,,,,,,1,,2
7708,VBM,14,7,50,,,,,,,,6,,1
7709,Election_Day,4,0,0,,,,,,,,,,
7709,VBM,4,1,25,,,1,,,,,,,
7711,Election_Day,15,1,6.67,,,,,,,,,,1
7711,VBM,15,4,26.67,,,,,,,,4,,
7712,Election_Day,5,2,40,,,,,,,,1,,1
7712,VBM,5,1,20,,,,,,,,,,1
7801,Election_Day,14,1,7.14,,,,,,,,1,,
7801,VBM,14,3,21.43,,,,,,,,2,,1
7802,Election_Day,7,3,42.86,,,,,,,,2,,1
7802,VBM,7,1,14.29,,,,,,,,,,1
7803,Election_Day,5,1,20,,,,,,,,1,,
7803,VBM,5,2,40,,,,,,,,1,,1
7804,Election_Day,10,2,20,,,,,,,,1,,1
7804,VBM,10,6,60,,1,,,,1,,,,4
7805,Election_Day,7,3,42.86,,,,,,,,1,,2
7805,VBM,7,1,14.29,,,,1,,,,,,
7806,Election_Day,10,1,10,,,,,,,,,,1
7806,VBM,10,3,30,,,,,,,,2,,1
7807,Election_Day,8,0,0,,,,,,,,,,
7807,VBM,8,2,25,,,,1,,,,1,,
7808,Election_Day,4,3,75,,,,1,,,,2,,
7808,VBM,4,0,0,,,,,,,,,,
7809,Election_Day,17,0,0,,,,,,,,,,
7809,VBM,17,4,23.53,,,2,,,,,1,,1
7811,Election_Day,8,1,12.5,,1,,,,,,,,
7811,VBM,8,3,37.5,,,,,,,,3,,
7812,Election_Day,4,3,75,,,,,,1,,1,,1
7812,VBM,4,1,25,,,,,,,,,,1
7813,Election_Day,11,2,18.18,,,,,,,,1,,1
7813,VBM,11,3,27.27,1,,,,,,,,,2
7814,Election_Day,17,1,5.88,,,,,,,,1,,
7814,VBM,17,5,29.41,,,,,,,,1,1,3
7815,Election_Day,10,3,30,,1,,,,,,,,2
7815,VBM,10,6,60,,1,,,,1,,3,,1
7816,Election_Day,6,3,50,,,,,,,,1,,2
7816,VBM,6,3,50,,,,,,,,2,,1
7817,Election_Day,8,1,12.5,,,,,,,,1,,
7817,VBM,8,3,37.5,,,,,,,,2,,1
7818,Election_Day,12,1,8.33,,,,1,,,,,,
7818,VBM,12,2,16.67,,1,,,,,,,,1
7819,Election_Day,9,4,44.44,,1,,,,,,1,,2
7819,VBM,9,1,11.11,,,,,,,,,,1
7821,Election_Day,11,2,18.18,,,,,1,,1,,,
7821,VBM,11,3,27.27,,,,,,1,,1,,1
7822,Election_Day,8,2,25,,,,,,,,2,,
7822,VBM,8,1,12.5,,,,,,,,1,,
7823,Election_Day,8,0,0,,,,,,,,,,
7823,VBM,8,4,50,,,,,,,,1,,3
7824,Election_Day,6,1,16.67,,,,,,,,,,1
7824,VBM,6,2,33.33,,1,,,,,,1,,
7825,Election_Day,7,2,28.57,,,,,,,,1,,1
7825,VBM,7,0,0,,,,,,,,,,
7826,Election_Day,5,1,20,,,,,,,1,,,
7826,VBM,5,0,0,,,,,,,,,,
7827,Election_Day,6,3,50,,,,,,,,1,,2
7827,VBM,6,1,16.67,,,,,,,,1,,
7828,Election_Day,21,6,28.57,,,,,,1,,1,,4
7828,VBM,21,4,19.05,,,,,,,,2,,2
7829,Election_Day,11,3,27.27,,,,,,,,1,,2
7829,VBM,11,3,27.27,1,,,,1,,,,,1
7831,Election_Day,9,4,44.44,,,,,,,,,,4
7831,VBM,9,5,55.56,,,,,,,,2,,3
7832,Election_Day,3,0,0,,,,,,,,,,
7832,VBM,3,0,0,,,,,,,,,,
7833,Election_Day,6,2,33.33,,,,,,,,1,,1
7833,VBM,6,1,16.67,,,,,,,,,,1
7834,Election_Day,9,2,22.22,,,,,,,,,,2
7834,VBM,9,3,33.33,,,,,,,,2,,1
7835,Election_Day,14,6,42.86,1,,,,,,,1,,4
7835,VBM,14,8,57.14,,,,,,,,5,,3
7836,Election_Day,14,2,14.29,,,,,,,,1,,1
7836,VBM,14,5,35.71,,1,,,,,,2,,2
7837,Election_Day,7,0,0,,,,,,,,,,
7837,VBM,7,4,57.14,1,,,,,,,2,,1
7838,Election_Day,8,2,25,,,,,,,,1,,1
7838,VBM,8,2,25,,,,,,,,2,,
7839,Election_Day,12,0,0,,,,,,,,,,
7839,VBM,12,6,50,,1,,,,,,5,,
7841,Election_Day,12,3,25,,,,,,,1,,,2
7841,VBM,12,2,16.67,,1,,,,,,,,1
7842,Election_Day,6,4,66.67,,,,,1,,,1,,2
7842,VBM,6,2,33.33,,,,,,,,1,,1
7843,Election_Day,6,3,50,,,,1,,,,2,,
7843,VBM,6,1,16.67,,,,,,,,1,,
7844,Election_Day,6,0,0,,,,,,,,,,
7844,VBM,6,1,16.67,,,,,,,,,,1
7845,Election_Day,12,5,41.67,,1,,,,,,1,,3
7845,VBM,12,2,16.67,,,,,1,,,,,1
7846,Election_Day,10,3,30,,,,,,,,2,,1
7846,VBM,10,1,10,,,,,,,,,,1
7847,Election_Day,11,2,18.18,,,,,,,,,,2
7847,VBM,11,5,45.45,,,,,,,,2,,3
7848,Election_Day,7,0,0,,,,,,,,,,
7848,VBM,7,1,14.29,,,,,,,,1,,
7849,Election_Day,12,2,16.67,,,1,,,,,,,1
7849,VBM,12,0,0,,,,,,,,,,
7851,Election_Day,5,1,20,,,,,,,,1,,
7851,VBM,5,3,60,,,,,,,,2,,1
7852,Election_Day,5,1,20,,1,,,,,,,,
7852,VBM,5,3,60,,1,,,,1,,1,,
7853,Election_Day,15,4,26.67,,,,,1,,,1,,2
7853,VBM,15,6,40,,,,,,1,1,3,,1
7854,Election_Day,9,3,33.33,,,,,,,,1,,2
7854,VBM,9,1,11.11,,,,,,,,1,,
7855,Election_Day,3,2,66.67,,,,,,,,,,2
7855,VBM,3,2,66.67,,,,,,,,1,,1
7856,Election_Day,9,2,22.22,,,,,,,,,,2
7856,VBM,9,1,11.11,,,,,,,,,,1
7857,Election_Day,16,3,18.75,1,,,1,,,,,,1
7857,VBM,16,5,31.25,,,,,,,,1,,4
7858,Election_Day,11,5,45.45,,,,,,,,1,,4
7858,VBM,11,1,9.09,,,,,,,,,,1
7859,Election_Day,12,1,8.33,,,,,,,,1,,
7859,VBM,12,4,33.33,,,1,,,,,1,,2
7861,Election_Day,8,3,37.5,,,,,,,1,,,2
7861,VBM,8,2,25,,1,,,,,,1,,
7862,Election_Day,14,0,0,,,,,,,,,,
7862,VBM,14,2,14.29,,,,,,,,1,,1
7863,Election_Day,14,5,35.71,,,,,,,,1,,4
7863,VBM,14,2,14.29,1,,,,,,,,,1
7864,Election_Day,8,2,25,,,,,,,,1,,1
7864,VBM,8,0,0,,,,,,,,,,
7865,Election_Day,7,1,14.29,,,,,,,,1,,
7865,VBM,7,3,42.86,,,,,,,,2,,1
7866,Election_Day,9,1,11.11,,,,,,,,,,1
7866,VBM,9,3,33.33,,,,1,,1,,,,1
7867,Election_Day,10,3,30,,1,,,1,,,,,1
7867,VBM,10,4,40,,1,,,,1,,,,2
7868,Election_Day,12,3,25,,,,1,,,,,,2
7868,VBM,12,4,33.33,,,1,,,,,2,,1
7869,Election_Day,9,5,55.56,1,2,,,,,,2,,
7869,VBM,9,4,44.44,,1,,,,,,,,3
7871,Election_Day,7,1,14.29,,,,,,,,,,1
7871,VBM,7,1,14.29,,,,,,,,,,1
7872,Election_Day,8,5,62.5,,,1,,,,,3,,1
7872,VBM,8,3,37.5,,,,,,,,1,,2
7873,Election_Day,15,4,26.67,,,,,,,,1,,3
7873,VBM,15,4,26.67,,,,1,,,,2,,1
7874,Election_Day,6,5,83.33,1,1,,,,,,2,,1
7874,VBM,6,1,16.67,,,,,,,,,,1
7875,Election_Day,7,3,42.86,,,,1,,,1,,,1
7875,VBM,7,2,28.57,,,,,,2,,,,
7901,Election_Day,15,1,6.67,,,,,,,,,,1
7901,VBM,15,1,6.67,,,,,,,,,,1
7902,Election_Day,15,5,33.33,1,1,,,,1,,2,,
7902,VBM,15,5,33.33,1,,,,,,,3,,1
7903,Election_Day,10,3,30,,,,,,,,1,,2
7903,VBM,10,3,30,1,,,,,,,2,,
7904,Election_Day,15,3,20,,,1,,,,,2,,
7904,VBM,15,3,20,1,,,,,,,1,,1
7905,Election_Day,15,4,26.67,,,1,,,,1,,,2
7905,VBM,15,4,26.67,,1,,,,,,,,3
7906,Election_Day,13,2,15.38,1,,,,,,,1,,
7906,VBM,13,6,46.15,1,,,,,,,4,,1
7907,Election_Day,18,1,5.56,,,,,,,,,,1
7907,VBM,18,3,16.67,,1,,,,,,1,,1
7908,Election_Day,8,2,25,,,,,,,,1,,1
7908,VBM,8,3,37.5,,,2,,,,,1,,
7909,Election_Day,7,4,57.14,,,,,,,,2,,2
7909,VBM,7,0,0,,,,,,,,,,
7911,Election_Day,11,3,27.27,,,,,,1,,1,,1
7911,VBM,11,4,36.36,,,,,,,,1,,3
7912,Election_Day,13,5,38.46,,,,,,1,,4,,
7912,VBM,13,2,15.38,,,,,,,,1,,1
7913,Election_Day,8,7,87.5,,,,,,1,,3,,3
7913,VBM,8,1,12.5,,,,,,1,,,,
7914,Election_Day,10,2,20,,,,,,,,,,2
7914,VBM,10,0,0,,,,,,,,,,
7915,Election_Day,8,1,12.5,,,,,,1,,,,
7915,VBM,8,2,25,,,,,,,,1,,1
7916,Election_Day,6,0,0,,,,,,,,,,
7916,VBM,6,2,33.33,,,,,,1,,1,,
7917,Election_Day,13,4,30.77,,,,,,,,2,,2
7917,VBM,13,2,15.38,,,,,,,,2,,
7918,Election_Day,10,5,50,1,,,,,,,2,,2
7918,VBM,10,1,10,,,,,,,,1,,
7919,Election_Day,7,1,14.29,,,,,,,,,,1
7919,VBM,7,2,28.57,,,,,1,,,,,1
7921,Election_Day,19,4,21.05,1,,,1,,,,,,2
7921,VBM,19,5,26.32,,,1,,,,,2,,2
7922,Election_Day,13,2,15.38,,,,,,,,1,,1
7922,VBM,13,1,7.69,,,,,,,,1,,
7923,Election_Day,9,3,33.33,,,,,,,,1,,2
7923,VBM,9,1,11.11,,,,,,,,1,,
7924,Election_Day,7,2,28.57,,,,,,,,1,,1
7924,VBM,7,3,42.86,,1,,,,,,1,,1
7925,Election_Day,4,3,75,,,,,,1,,1,,1
7925,VBM,4,1,25,,1,,,,,,,,
7926,Election_Day,13,2,15.38,1,,,,,,,,,1
7926,VBM,13,1,7.69,,,,,,,,1,,
7927,Election_Day,8,3,37.5,,,,,,,,,,3
7927,VBM,8,3,37.5,,,,,,,,2,,1
7928,Election_Day,12,3,25,,,,,,1,,,,2
7928,VBM,12,5,41.67,,,,,,,,4,,1
7929,Election_Day,8,2,25,,,,,,,,1,,1
7929,VBM,8,5,62.5,,2,,,,1,,,,2
7931,Election_Day,14,3,21.43,,,,,1,1,,1,,
7931,VBM,14,5,35.71,2,,,1,,,,2,,
7932,Election_Day,7,2,28.57,,,,,,,,2,,
7932,VBM,7,2,28.57,1,,,,,1,,,,
7933,Election_Day,0,0,0,,,,,,,,,,
7933,VBM,0,0,0,,,,,,,,,,
7934,Election_Day,4,1,25,,,,,,,,1,,
7934,VBM,4,2,50,1,,,,,,,1,,
7935,Election_Day,10,2,20,,,,,,,,1,,1
7935,VBM,10,4,40,,,,,,,,2,,2
7936,Election_Day,9,0,0,,,,,,,,,,
7936,VBM,9,5,55.56,,1,,,,,,2,,2
7937,Election_Day,8,1,12.5,,,,,,,,,,1
7937,VBM,8,2,25,,,,,,1,,,,1
7938,Election_Day,8,5,62.5,,,,,,,1,3,,1
7938,VBM,8,2,25,1,,,,,,,1,,
7939,Election_Day,3,1,33.33,,,,,,,,,,1
7939,VBM,3,1,33.33,,,,,,,,,,1
7941,Election_Day,6,2,33.33,,,,,,,,,,2
7941,VBM,6,0,0,,,,,,,,,,
7942,Election_Day,13,2,15.38,,,,,,,,,,2
7942,VBM,13,2,15.38,,,,,,,,1,,1
7943,Election_Day,11,1,9.09,,,,1,,,,,,
7943,VBM,11,5,45.45,1,,,,,,,2,,2
7944,Election_Day,13,3,23.08,,,,,,,,1,,2
7944,VBM,13,4,30.77,1,,,,,,,1,,2
7945,Election_Day,15,1,6.67,,,,,,,,1,,
7945,VBM,15,6,40,,,,,,1,,3,,2
7946,Election_Day,13,1,7.69,,,,,,,,,,1
7946,VBM,13,2,15.38,,,,,,,,,,2
7947,Election_Day,13,1,7.69,,,,,,,,,,1
7947,VBM,13,7,53.85,,,,,,1,,3,,3
7948,Election_Day,20,7,35,,,,1,1,,,1,1,3
7948,VBM,20,5,25,,,,,,,1,3,,1
7949,Election_Day,5,3,60,,,1,,,,,2,,
7949,VBM,5,1,20,,,,,,,,1,,
7951,Election_Day,10,2,20,,,,,,,,2,,
7951,VBM,10,5,50,,,1,,,,,3,,1
7952,Election_Day,12,0,0,,,,,,,,,,
7952,VBM,12,5,41.67,,,,,,1,,1,,3
7953,Election_Day,9,6,66.67,,2,,1,,,,,,3
7953,VBM,9,5,55.56,1,1,,,,1,,1,,1
7954,Election_Day,0,0,0,,,,,,,,,,
7954,VBM,0,0,0,,,,,,,,,,
7955,Election_Day,12,2,16.67,,,,,1,,,1,,
7955,VBM,12,5,41.67,,,,1,,1,,2,,1
7956,Election_Day,7,4,57.14,1,,,,,,,2,,1
7956,VBM,7,2,28.57,,,1,,,,,,,1
7957,Election_Day,8,2,25,,,1,,,,,,,1
7957,VBM,8,4,50,,,1,,,2,,,,1
7958,Election_Day,2,1,50,,,,,,,,1,,
7958,VBM,2,3,150,,,,,,,1,2,,
9001,Election_Day,2,0,0,,,,,,,,,,
9001,VBM,2,2,100,,,,,,1,,1,,
9101,Election_Day,14,2,14.29,,,,,1,,,,,1
9101,VBM,14,4,28.57,,,,,1,,,2,,1
9102,Election_Day,20,2,10,,1,,,,,,,,1
9102,VBM,20,5,25,,1,,,,,,3,,1
9103,Election_Day,3,0,0,,,,,,,,,,
9103,VBM,3,2,66.67,,,,,,1,,,,1
9104,Election_Day,24,2,8.33,,,,,,1,,,,1
9104,VBM,24,5,20.83,,,,,,,,4,,1
9105,Election_Day,18,2,11.11,,,,,,,,,,2
9105,VBM,18,4,22.22,,,,,,,,3,,1
9106,Election_Day,12,2,16.67,,,,,,,,1,,1
9106,VBM,12,5,41.67,1,,1,,,,1,1,,1
9107,Election_Day,13,3,23.08,,1,,,,1,,,,1
9107,VBM,13,3,23.08,,,,,,,,1,,2
9108,Election_Day,13,3,23.08,1,,,,,1,,,,1
9108,VBM,13,2,15.38,,1,1,,,,,,,
9109,Election_Day,7,1,14.29,,,,,,,,,,1
9109,VBM,7,1,14.29,,,,,,,,,,1
9111,Election_Day,12,3,25,,,,,,,,1,,2
9111,VBM,12,4,33.33,,,,,,,2,1,,1
9112,Election_Day,12,3,25,,1,,,,,1,1,,
9112,VBM,12,2,16.67,,,,,,,,1,,1
9113,Election_Day,11,8,72.73,,,2,,1,1,,2,,2
9113,VBM,11,4,36.36,,,,,,,1,,,3
9114,Election_Day,14,2,14.29,,,,,,,,2,,
9114,VBM,14,6,42.86,,,,,,1,,2,,3
9115,Election_Day,16,5,31.25,,,,,,,1,2,,2
9115,VBM,16,5,31.25,,,,1,1,,1,1,,1
9116,Election_Day,13,1,7.69,,,,,,,,,,1
9116,VBM,13,4,30.77,,,,,,,1,3,,
9117,Election_Day,15,7,46.67,1,,,,,,,3,,3
9117,VBM,15,3,20,,,,,,1,,2,,
9118,Election_Day,16,6,37.5,,,,,,1,,2,,3
9118,VBM,16,3,18.75,,1,,,1,,,,,1
9119,Election_Day,13,1,7.69,,,,,,,,,,1
9119,VBM,13,5,38.46,2,,,,,,1,2,,
9121,Election_Day,12,2,16.67,,,,,,,,,,2
9121,VBM,12,4,33.33,,,,1,,,,1,,2
9122,Election_Day,12,4,33.33,,,,,,,,,,4
9122,VBM,12,3,25,1,,,,,,,,,2
9123,Election_Day,10,5,50,,,,,2,,,,,3
9123,VBM,10,2,20,,,,,,,,1,,1
9124,Election_Day,16,3,18.75,1,,1,,,1,,,,
9124,VBM,16,1,6.25,,,1,,,,,,,
9125,Election_Day,15,3,20,1,,,,,,,,,2
