precinct,ballot_type,registered,ballots_cast,turnout,PHIL_TING,CARLOS_''CHUCK''_TAYLOR,WRITE-IN,over_votes,under_votes
1101,Election_Day,518,83,16.02,57,9,1,,16
1101,VBM,518,169,32.63,128,24,1,,16
1102,Election_Day,931,255,27.39,188,30,1,,36
1102,VBM,931,311,33.4,229,45,1,,36
1103,Election_Day,897,193,21.52,128,20,2,,43
1103,VBM,897,320,35.67,230,50,1,,39
1104/1105,Election_Day,925,192,20.76,119,26,4,,43
1104/1105,VBM,925,292,31.57,218,35,2,,37
1106,Election_Day,760,159,20.92,109,12,4,,34
1106,VBM,760,247,32.5,171,45,2,,29
1107,Election_Day,723,131,18.12,94,10,2,,25
1107,VBM,723,237,32.78,169,36,3,,29
1108,Election_Day,896,161,17.97,119,18,,,24
1108,VBM,896,344,38.39,266,32,,,46
1109,Election_Day,770,135,17.53,88,18,2,,27
1109,VBM,770,265,34.42,190,30,2,,43
1111,Election_Day,916,149,16.27,94,26,3,,26
1111,VBM,916,292,31.88,219,44,2,,27
1112,Election_Day,701,114,16.26,69,13,3,,29
1112,VBM,701,219,31.24,179,12,1,,27
1113,Election_Day,663,100,15.08,71,12,1,1,15
1113,VBM,663,239,36.05,166,39,1,,33
1114,Election_Day,905,170,18.78,102,21,1,,46
1114,VBM,905,278,30.72,194,48,,,36
1115,Election_Day,848,137,16.16,89,21,1,,26
1115,VBM,848,288,33.96,211,26,1,1,49
1116,Election_Day,812,148,18.23,108,11,2,,27
1116,VBM,812,239,29.43,188,28,,,23
1117,Election_Day,817,155,18.97,90,25,,,40
1117,VBM,817,245,29.99,172,39,1,,33
1118,Election_Day,972,178,18.31,121,17,5,,35
1118,VBM,972,320,32.92,235,42,3,1,39
1119,Election_Day,719,122,16.97,78,15,,,29
1119,VBM,719,241,33.52,186,28,3,1,23
1121,Election_Day,642,114,17.76,77,18,,,19
1121,VBM,642,219,34.11,160,29,,,30
1122,Election_Day,613,105,17.13,71,13,1,,20
1122,VBM,613,189,30.83,145,26,1,,17
1123,Election_Day,881,140,15.89,98,11,3,,28
1123,VBM,881,244,27.7,187,31,3,,23
1124,Election_Day,758,149,19.66,101,16,1,,31
1124,VBM,758,208,27.44,152,20,3,1,32
1125,Election_Day,935,116,12.41,69,15,1,,31
1125,VBM,935,287,30.7,215,34,2,,36
1126,Election_Day,864,146,16.9,102,23,2,,19
1126,VBM,864,283,32.75,221,27,2,,33
1127,Election_Day,841,161,19.14,92,32,3,,34
1127,VBM,841,281,33.41,197,41,4,,39
1128,Election_Day,813,117,14.39,76,18,,,23
1128,VBM,813,265,32.6,185,45,1,,34
1129,Election_Day,852,136,15.96,74,21,,,41
1129,VBM,852,272,31.92,198,45,2,,27
1131,Election_Day,787,108,13.72,61,17,1,,29
1131,VBM,787,277,35.2,208,40,1,,28
1132,Election_Day,910,135,14.84,88,18,1,,28
1132,VBM,910,334,36.7,243,53,2,,36
1133,Election_Day,811,126,15.54,76,16,1,,33
1133,VBM,811,285,35.14,212,47,1,,25
1134,Election_Day,720,142,19.72,99,18,1,,24
1134,VBM,720,219,30.42,155,34,3,,27
1135,Election_Day,495,86,17.37,53,12,2,,19
1135,VBM,495,185,37.37,129,32,,,24
1136,Election_Day,775,104,13.42,66,22,3,1,12
1136,VBM,775,295,38.06,197,46,2,,50
9001,Election_Day,234,5,2.14,1,,,,4
9001,VBM,234,99,42.31,76,13,,,10
9101,Election_Day,840,197,23.45,139,25,1,,32
9101,VBM,840,312,37.14,230,40,1,,41
9102,Election_Day,892,215,24.1,149,30,,,36
9102,VBM,892,321,35.99,248,48,,,25
9103,Election_Day,909,197,21.67,136,26,1,,34
9103,VBM,909,294,32.34,217,42,1,,34
9104,Election_Day,927,204,22.01,147,22,2,,33
9104,VBM,927,300,32.36,218,47,1,,34
9105,Election_Day,903,227,25.14,163,17,,,47
9105,VBM,903,311,34.44,226,38,1,,46
9106,Election_Day,892,253,28.36,182,24,2,,45
9106,VBM,892,341,38.23,259,36,2,,44
9107,Election_Day,767,195,25.42,129,22,,,44
9107,VBM,767,248,32.33,181,35,,,32
9108,Election_Day,758,205,27.04,149,17,6,,33
9108,VBM,758,231,30.47,178,19,2,,32
9109,Election_Day,810,207,25.56,144,22,1,,40
9109,VBM,810,280,34.57,213,29,4,,34
9111,Election_Day,713,184,25.81,128,18,,,38
9111,VBM,713,216,30.29,160,21,3,,32
9112,Election_Day,908,211,23.24,160,20,1,,30
9112,VBM,908,317,34.91,258,22,1,,36
9113,Election_Day,938,252,26.87,181,32,2,,37
9113,VBM,938,325,34.65,260,32,,,33
9114,Election_Day,847,196,23.14,139,19,1,,37
9114,VBM,847,275,32.47,220,16,1,,38
9115,Election_Day,876,209,23.86,165,15,3,,26
9115,VBM,876,287,32.76,213,33,,,41
9116,Election_Day,900,211,23.44,146,14,5,,46
9116,VBM,900,268,29.78,194,36,1,1,36
9117,Election_Day,729,179,24.55,126,18,,,35
9117,VBM,729,280,38.41,213,34,,,33
9118,Election_Day,904,218,24.12,150,21,1,,46
9118,VBM,904,286,31.64,198,38,2,,48
9119,Election_Day,865,168,19.42,120,22,1,,25
9119,VBM,865,324,37.46,226,44,1,1,52
9121,Election_Day,882,208,23.58,152,20,1,,35
9121,VBM,882,283,32.09,228,25,2,,28
9122,Election_Day,864,168,19.44,121,12,2,,33
9122,VBM,864,289,33.45,222,33,2,,32
9123,Election_Day,819,208,25.4,140,19,3,,46
9123,VBM,819,292,35.65,205,38,1,,48
9124,Election_Day,877,187,21.32,132,22,2,1,30
9124,VBM,877,269,30.67,202,33,5,,29
9125,Election_Day,833,185,22.21,131,16,3,,35
9125,VBM,833,303,36.37,236,32,1,,34
9126,Election_Day,914,204,22.32,151,20,3,,30
9126,VBM,914,325,35.56,250,42,1,,32
9127,Election_Day,929,235,25.3,176,29,,,30
9127,VBM,929,306,32.94,241,26,1,,38
9128,Election_Day,826,229,27.72,162,31,2,,34
9128,VBM,826,271,32.81,187,44,1,,39
9129,Election_Day,673,185,27.49,135,19,,,31
9129,VBM,673,214,31.8,157,24,1,,32
9131,Election_Day,733,178,24.28,115,16,1,,46
9131,VBM,733,250,34.11,198,25,,,27
9132,Election_Day,834,206,24.7,156,13,3,1,33
9132,VBM,834,243,29.14,194,18,1,,30
9133,Election_Day,986,211,21.4,157,18,,,36
9133,VBM,986,365,37.02,295,39,2,,29
9134,Election_Day,822,155,18.86,115,14,1,,25
9134,VBM,822,288,35.04,215,32,1,,40
9135,Election_Day,782,169,21.61,117,20,1,,31
9135,VBM,782,260,33.25,144,60,1,1,54
9136,Election_Day,893,212,23.74,155,16,,,41
9136,VBM,893,304,34.04,238,29,1,,36
9137,Election_Day,912,185,20.29,124,25,1,,35
9137,VBM,912,315,34.54,235,42,3,,35
9138,Election_Day,858,150,17.48,105,15,2,,28
9138,VBM,858,283,32.98,225,33,,,25
9139,Election_Day,943,188,19.94,135,26,,,27
9139,VBM,943,351,37.22,257,55,1,,38
9141,Election_Day,895,192,21.45,131,18,4,,39
9141,VBM,895,319,35.64,241,48,1,,29
9142,Election_Day,901,218,24.2,169,13,3,,33
9142,VBM,901,292,32.41,229,30,2,,31
9143,Election_Day,865,209,24.16,169,12,1,,27
9143,VBM,865,301,34.8,215,39,,,47
9144,Election_Day,926,245,26.46,182,22,1,,40
9144,VBM,926,314,33.91,243,31,1,,39
9145,Election_Day,823,210,25.52,149,21,,,40
9145,VBM,823,274,33.29,212,31,1,,30
9146,Election_Day,856,246,28.74,187,22,3,,34
9146,VBM,856,272,31.78,216,22,1,,33
9147,Election_Day,894,238,26.62,163,25,1,,49
9147,VBM,894,285,31.88,223,28,,,34
9148,Election_Day,943,273,28.95,205,23,,,45
9148,VBM,943,294,31.18,217,37,2,,38
9149,Election_Day,893,238,26.65,176,13,3,,46
9149,VBM,893,297,33.26,223,37,2,,35
9151,Election_Day,775,156,20.13,106,12,1,,37
9151,VBM,775,269,34.71,198,33,1,,37
9152,Election_Day,724,106,14.64,78,5,4,,19
9152,VBM,724,165,22.79,129,19,,,17
9201,Election_Day,903,243,26.91,191,19,1,,32
9201,VBM,903,264,29.24,197,33,,,34
9202,Election_Day,871,222,25.49,142,34,2,,44
9202,VBM,871,240,27.55,174,32,,,34
9203,Election_Day,903,176,19.49,97,35,,1,43
9203,VBM,903,294,32.56,167,80,,,47
9204,Election_Day,753,166,22.05,101,24,,,41
9204,VBM,753,228,30.28,148,52,3,,25
9205,Election_Day,665,137,20.6,86,20,2,1,28
9205,VBM,665,225,33.83,147,37,,,41
9206,Election_Day,879,159,18.09,101,36,1,,21
9206,VBM,879,305,34.7,177,84,,,44
9207,Election_Day,858,178,20.75,108,41,1,,28
9207,VBM,858,247,28.79,153,49,1,,44
9208,Election_Day,869,186,21.4,122,27,,,37
9208,VBM,869,234,26.93,142,51,,,41
9209,Election_Day,658,157,23.86,97,28,,,32
9209,VBM,658,188,28.57,110,45,3,,30
9211,Election_Day,777,161,20.72,103,20,,,38
9211,VBM,777,212,27.28,115,54,,,43
9212,Election_Day,762,160,21,106,17,2,,35
9212,VBM,762,215,28.22,142,34,,,39
9213,Election_Day,870,172,19.77,116,25,,,31
9213,VBM,870,263,30.23,176,50,,,37
9214,Election_Day,565,111,19.65,66,23,1,,21
9214,VBM,565,197,34.87,125,50,,,22
9215,Election_Day,604,132,21.85,79,23,1,,29
9215,VBM,604,197,32.62,126,42,,,29
9216,Election_Day,712,160,22.47,105,22,1,,32
9216,VBM,712,177,24.86,106,41,1,,29
9217,Election_Day,682,154,22.58,103,22,1,,28
9217,VBM,682,201,29.47,138,38,,,25
9218,Election_Day,743,136,18.3,79,28,,,29
9218,VBM,743,220,29.61,148,35,1,,36
9219,Election_Day,719,184,25.59,119,19,1,,45
9219,VBM,719,180,25.03,118,31,1,,30
9221,Election_Day,611,136,22.26,87,22,,,27
9221,VBM,611,260,42.55,154,73,,,33
9222,Election_Day,802,155,19.33,98,28,,,29
9222,VBM,802,305,38.03,198,49,1,,57
9223,Election_Day,591,98,16.58,61,14,2,,21
9223,VBM,591,215,36.38,142,43,,,30
9224,Election_Day,898,184,20.49,110,25,,,49
9224,VBM,898,298,33.18,202,57,1,,38
9225,Election_Day,866,193,22.29,111,27,1,,54
9225,VBM,866,242,27.94,154,42,5,,41
9226,Election_Day,822,169,20.56,101,30,,,38
9226,VBM,822,281,34.18,170,56,2,,53
9227,Election_Day,709,154,21.72,106,16,,,32
9227,VBM,709,293,41.33,192,63,,,38
9228,Election_Day,687,165,24.02,110,28,1,,26
9228,VBM,687,272,39.59,175,63,,,34
9229,Election_Day,576,135,23.44,101,20,1,,13
9229,VBM,576,230,39.93,170,38,,,22
9231,Election_Day,961,282,29.34,208,18,,,56
9231,VBM,961,313,32.57,216,36,2,1,58
9232,Election_Day,706,182,25.78,121,23,,,38
9232,VBM,706,241,34.14,169,41,1,,30
9233,Election_Day,748,166,22.19,115,16,,,35
9233,VBM,748,283,37.83,192,59,2,,30
9234,Election_Day,708,141,19.92,91,20,,,30
9234,VBM,708,267,37.71,178,57,,,32
9235,Election_Day,825,196,23.76,119,36,,,41
9235,VBM,825,290,35.15,180,60,1,,49
9236,Election_Day,637,149,23.39,102,19,1,,27
9236,VBM,637,224,35.16,172,28,,,24
9237,Election_Day,846,168,19.86,102,18,,,48
9237,VBM,846,301,35.58,199,56,,,46
9238,Election_Day,778,150,19.28,105,17,,,28
9238,VBM,778,300,38.56,195,63,,,42
9239,Election_Day,811,155,19.11,95,27,1,,32
9239,VBM,811,307,37.85,201,59,,,47
9241,Election_Day,903,198,21.93,133,25,2,,38
9241,VBM,903,292,32.34,192,51,,,49
9242,Election_Day,864,193,22.34,134,21,,,38
9242,VBM,864,281,32.52,199,48,2,,32
9243,Election_Day,567,144,25.4,97,13,,,34
9243,VBM,567,191,33.69,144,19,,,28
9244,Election_Day,828,190,22.95,135,9,,,46
9244,VBM,828,253,30.56,186,31,1,,35
9245,Election_Day,665,157,23.61,114,14,,,29
9245,VBM,665,221,33.23,157,23,,1,40
9246,Election_Day,861,200,23.23,136,22,1,,41
9246,VBM,861,295,34.26,205,36,1,,53
9247,Election_Day,887,202,22.77,131,19,,,52
9247,VBM,887,323,36.41,234,45,2,,42
9248,Election_Day,834,182,21.82,128,17,2,,35
9248,VBM,834,291,34.89,207,41,,,43
9249,Election_Day,857,219,25.55,161,22,,,36
9249,VBM,857,287,33.49,217,34,,,36
9251,Election_Day,882,223,25.28,165,12,2,,44
9251,VBM,882,312,35.37,236,35,1,,40
9252,Election_Day,861,170,19.74,119,23,,,28
9252,VBM,861,359,41.7,241,54,1,,63
9253,Election_Day,741,167,22.54,111,20,,1,35
9253,VBM,741,237,31.98,166,30,1,,40
9254,Election_Day,860,204,23.72,151,17,,,36
9254,VBM,860,317,36.86,246,37,1,,33
9255,Election_Day,513,137,26.71,93,14,1,,29
9255,VBM,513,154,30.02,115,21,,,18
9256,Election_Day,371,83,22.37,57,6,,,20
9256,VBM,371,105,28.3,77,10,,,18
9257,Election_Day,284,14,4.93,8,,,,6
9257,VBM,284,166,58.45,125,14,,,27
9258,Election_Day,659,130,19.73,98,13,,,19
9258,VBM,659,251,38.09,197,27,,,27
9401,Election_Day,909,255,28.05,177,16,2,,60
9401,VBM,909,268,29.48,218,23,1,,26
9402,Election_Day,954,241,25.26,174,25,3,,39
9402,VBM,954,322,33.75,231,38,1,,52
9403,Election_Day,862,186,21.58,141,19,,,26
9403,VBM,862,299,34.69,216,38,,,45
9404,Election_Day,849,171,20.14,116,20,,,35
9404,VBM,849,250,29.45,195,35,1,,19
9405,Election_Day,765,185,24.18,129,20,1,,35
9405,VBM,765,258,33.73,199,25,1,,33
9406,Election_Day,862,202,23.43,142,22,3,,35
9406,VBM,862,264,30.63,200,33,2,,29
9407,Election_Day,851,210,24.68,152,19,1,,38
9407,VBM,851,261,30.67,204,29,,,28
9408,Election_Day,805,218,27.08,158,18,3,,39
9408,VBM,805,243,30.19,178,16,1,,48
9409,Election_Day,574,168,29.27,127,14,2,,25
9409,VBM,574,180,31.36,131,16,3,,30
9411,Election_Day,987,256,25.94,173,26,1,,56
9411,VBM,987,296,29.99,224,32,4,,36
9412,Election_Day,838,214,25.54,157,20,1,,36
9412,VBM,838,262,31.26,190,25,,,47
9413,Election_Day,871,191,21.93,127,21,2,,41
9413,VBM,871,299,34.33,225,33,2,,39
9414,Election_Day,837,176,21.03,121,17,,,38
9414,VBM,837,337,40.26,256,40,2,,39
9415,Election_Day,764,150,19.63,108,17,,,25
9415,VBM,764,260,34.03,190,39,,,31
9416,Election_Day,947,229,24.18,161,18,3,,47
9416,VBM,947,299,31.57,227,37,,,35
9417,Election_Day,709,137,19.32,96,12,,,29
9417,VBM,709,239,33.71,172,41,2,,24
9418,Election_Day,761,161,21.16,109,19,4,,29
9418,VBM,761,242,31.8,176,44,,,22
9419,Election_Day,841,142,16.88,91,24,,,27
9419,VBM,841,314,37.34,209,69,1,,35
9421,Election_Day,876,148,16.89,98,15,2,,33
9421,VBM,876,314,35.84,237,38,3,,36
9422,Election_Day,1001,243,24.28,157,43,3,,40
9422,VBM,1001,323,32.27,248,43,2,,30
9423,Election_Day,850,165,19.41,110,25,2,,28
9423,VBM,850,291,34.24,219,31,4,,37
9424,Election_Day,902,166,18.4,122,14,2,,28
9424,VBM,902,297,32.93,231,33,2,,31
9425,Election_Day,880,156,17.73,116,10,1,,29
9425,VBM,880,288,32.73,218,40,1,,29
9426,Election_Day,766,133,17.36,92,12,1,,28
9426,VBM,766,251,32.77,185,42,,,24
9427,Election_Day,886,144,16.25,96,20,2,,26
9427,VBM,886,302,34.09,223,48,2,,29
9428,Election_Day,890,134,15.06,84,18,2,,30
9428,VBM,890,329,36.97,244,51,3,1,30
9429,Election_Day,848,195,23,139,28,2,,26
9429,VBM,848,255,30.07,194,35,,,26
9431,Election_Day,941,173,18.38,127,20,2,,24
9431,VBM,941,349,37.09,260,53,,,36
9432,Election_Day,855,183,21.4,127,22,3,,31
9432,VBM,855,274,32.05,204,31,1,,38
9433,Election_Day,882,166,18.82,97,32,2,,35
9433,VBM,882,317,35.94,235,42,1,,39
9434,Election_Day,944,209,22.14,145,26,2,,36
9434,VBM,944,322,34.11,254,36,1,,31
9435,Election_Day,909,202,22.22,128,33,6,,35
9435,VBM,909,307,33.77,240,37,,,30
9436,Election_Day,951,178,18.72,114,26,2,,36
9436,VBM,951,324,34.07,238,41,1,,44
9437,Election_Day,878,174,19.82,126,20,1,,27
9437,VBM,878,302,34.4,203,62,,,37
9438,Election_Day,917,164,17.88,113,20,2,,29
9438,VBM,917,326,35.55,246,48,2,,30
9439,Election_Day,836,157,18.78,95,19,,,43
9439,VBM,836,286,34.21,217,42,,,27
9441,Election_Day,944,188,19.92,128,19,,,41
9441,VBM,944,326,34.53,248,46,3,,29
9442,Election_Day,935,218,23.32,157,22,1,,38
9442,VBM,935,312,33.37,222,56,2,,32
9443,Election_Day,867,196,22.61,141,22,4,,29
9443,VBM,867,273,31.49,210,38,5,,20
9444,Election_Day,877,126,14.37,78,20,2,,26
9444,VBM,877,300,34.21,211,52,2,,35
9445,Election_Day,918,194,21.13,125,32,2,,35
9445,VBM,918,338,36.82,247,49,1,,41
9446,Election_Day,995,212,21.31,151,27,2,,32
9446,VBM,995,369,37.09,269,52,2,,46
9447,Election_Day,892,171,19.17,129,17,,,25
9447,VBM,892,318,35.65,229,35,1,,53
9448,Election_Day,855,159,18.6,108,24,1,,26
9448,VBM,855,302,35.32,208,47,2,1,44
9449,Election_Day,763,111,14.55,77,10,1,,23
9449,VBM,763,278,36.44,203,51,1,,23
9451,Election_Day,402,85,21.14,62,7,2,,14
9451,VBM,402,157,39.05,107,32,,,18
9452,Election_Day,765,208,27.19,124,40,1,,43
9452,VBM,765,259,33.86,197,34,1,,27
9453,Election_Day,454,90,19.82,63,6,,,21
9453,VBM,454,170,37.44,117,22,2,,29
9501,Election_Day,141,2,1.42,1,,,,1
9501,VBM,141,77,54.61,56,12,,,9
9502,Election_Day,201,7,3.48,3,2,,,2
9502,VBM,201,122,60.7,98,7,,,17
9503/9504,Election_Day,673,126,18.72,92,11,,,23
9503/9504,VBM,673,215,31.95,165,13,2,,35
9505,Election_Day,738,150,20.33,103,12,1,,34
9505,VBM,738,228,30.89,191,14,,,23
9506,Election_Day,734,162,22.07,119,11,1,,31
9506,VBM,734,181,24.66,147,13,,,21
9507,Election_Day,731,182,24.9,133,12,2,,35
9507,VBM,731,266,36.39,206,13,1,,46
9508,Election_Day,797,233,29.23,184,5,,,44
9508,VBM,797,233,29.23,177,10,3,,43
9509,Election_Day,671,184,27.42,140,3,1,,40
9509,VBM,671,212,31.59,167,10,3,,32
9511,Election_Day,592,166,28.04,113,15,2,,36
9511,VBM,592,170,28.72,124,20,1,,25
9512,Election_Day,776,195,25.13,145,12,4,,34
9512,VBM,776,260,33.51,217,12,,,31
9513,Election_Day,849,207,24.38,150,9,4,,44
9513,VBM,849,245,28.86,208,9,1,,27
9514/9522,Election_Day,890,275,30.9,198,17,3,,57
9514/9522,VBM,890,284,31.91,224,20,,,40
9515,Election_Day,694,233,33.57,155,20,1,,57
9515,VBM,694,228,32.85,187,20,,,21
9516,Election_Day,855,225,26.32,167,14,2,,42
9516,VBM,855,283,33.1,200,37,,,46
9517,Election_Day,786,219,27.86,163,19,1,,36
9517,VBM,786,273,34.73,206,20,2,,45
9518,Election_Day,750,214,28.53,153,12,3,,46
9518,VBM,750,255,34,193,19,2,,41
9519,Election_Day,859,251,29.22,172,24,3,,52
9519,VBM,859,282,32.83,215,27,3,,37
9521,Election_Day,860,276,32.09,202,16,2,,56
9521,VBM,860,284,33.02,231,21,1,,31
9701,Election_Day,642,197,30.69,139,12,1,,45
9701,VBM,642,215,33.49,165,24,,,26
9702,Election_Day,723,220,30.43,170,9,3,,38
9702,VBM,723,223,30.84,169,27,,,27
9703,Election_Day,917,197,21.48,136,29,3,,29
9703,VBM,917,323,35.22,246,46,1,,30
9704,Election_Day,902,229,25.39,175,20,,,34
9704,VBM,902,325,36.03,259,29,,,37
9705,Election_Day,859,269,31.32,194,20,3,,52
9705,VBM,859,289,33.64,225,32,3,,29
9706,Election_Day,52,1,1.92,1,,,,
9706,VBM,52,39,75,33,2,,,4
9707,Election_Day,741,145,19.57,101,20,,,24
9707,VBM,741,285,38.46,208,47,1,,29
9708,Election_Day,876,227,25.91,169,19,,,39
9708,VBM,876,308,35.16,233,33,3,,39
9709,Election_Day,942,202,21.44,127,33,1,,41
9709,VBM,942,336,35.67,251,47,4,,34
9711,Election_Day,621,164,26.41,109,32,2,,21
9711,VBM,621,262,42.19,214,27,,,21
9712,Election_Day,621,150,24.15,109,18,,,23
9712,VBM,621,259,41.71,196,38,1,,24
9713,Election_Day,913,172,18.84,123,19,1,,29
9713,VBM,913,345,37.79,251,60,,,34
9714,Election_Day,898,187,20.82,132,31,,,24
9714,VBM,898,378,42.09,262,76,1,,39
9715,Election_Day,557,175,31.42,121,20,1,,33
9715,VBM,557,192,34.47,142,29,,,21
9716,Election_Day,914,195,21.33,136,33,1,,25
9716,VBM,914,328,35.89,249,39,2,,38
9717,Election_Day,942,217,23.04,144,35,5,,33
9717,VBM,942,343,36.41,252,47,2,,42
9718,Election_Day,819,195,23.81,135,31,3,,26
9718,VBM,819,358,43.71,257,53,2,,46
9719,Election_Day,852,219,25.7,147,39,3,,30
9719,VBM,852,350,41.08,256,50,,,44
9721,Election_Day,628,176,28.03,126,23,2,,25
9721,VBM,628,231,36.78,158,43,1,,29
9722,Election_Day,608,109,17.93,69,20,,,20
9722,VBM,608,266,43.75,175,51,,,40
9723,Election_Day,435,60,13.79,38,14,,,8
9723,VBM,435,200,45.98,134,38,,,28
9724,Election_Day,903,161,17.83,98,32,1,,30
9724,VBM,903,355,39.31,241,69,2,,43
9725,Election_Day,937,156,16.65,84,35,1,,36
9725,VBM,937,338,36.07,216,70,2,,50
9726,Election_Day,676,134,19.82,97,18,,,19
9726,VBM,676,180,26.63,133,25,2,,20
9727,Election_Day,419,71,16.95,41,17,1,,12
9727,VBM,419,185,44.15,120,42,,,23
9728,Election_Day,899,192,21.36,121,32,1,,38
9728,VBM,899,365,40.6,241,78,1,,45
9729,Election_Day,766,155,20.23,104,27,2,,22
9729,VBM,766,321,41.91,215,68,3,,35
9731,Election_Day,506,148,29.25,95,26,3,,24
9731,VBM,506,184,36.36,118,39,,,27
9732,Election_Day,74,4,5.41,3,,,,1
9732,VBM,74,52,70.27,42,8,,,2
9733,Election_Day,209,5,2.39,2,,,,3
9733,VBM,209,146,69.86,111,18,1,,16
9734,Election_Day,580,133,22.93,96,19,,,18
9734,VBM,580,241,41.55,157,42,1,,41
9735,Election_Day,763,157,20.58,108,22,1,,26
9735,VBM,763,332,43.51,221,68,,,43
9736,Election_Day,687,156,22.71,106,22,2,,26
9736,VBM,687,291,42.36,225,30,1,1,34
9737,Election_Day,756,177,23.41,123,19,,,35
9737,VBM,756,353,46.69,262,43,1,,47
9738,Election_Day,769,167,21.72,115,27,2,,23
9738,VBM,769,245,31.86,154,40,1,1,49
9739,Election_Day,806,168,20.84,112,22,,,34
9739,VBM,806,207,25.68,160,21,,,26
9741,Election_Day,765,53,6.93,34,2,1,,16
9741,VBM,765,51,6.67,37,4,1,,9
9742,Election_Day,603,121,20.07,75,23,1,,22
9742,VBM,603,184,30.51,120,34,1,,29
9743,Election_Day,986,222,22.52,160,19,2,1,40
9743,VBM,986,329,33.37,247,37,3,2,40
9744,Election_Day,877,194,22.12,127,25,5,,37
9744,VBM,877,227,25.88,148,43,1,,35
9745,Election_Day,969,189,19.5,127,27,,,35
9745,VBM,969,236,24.36,170,32,,,34
9746,Election_Day,872,202,23.17,128,44,,,30
9746,VBM,872,334,38.3,238,61,1,1,33
9747,Election_Day,917,215,23.45,154,20,2,,39
9747,VBM,917,340,37.08,247,47,1,,45
9748,Election_Day,937,195,20.81,132,27,1,,35
9748,VBM,937,345,36.82,256,55,,,34
9749,Election_Day,865,173,20,113,19,1,,40
9749,VBM,865,241,27.86,186,28,,,27
9751,Election_Day,929,197,21.21,133,30,4,,30
9751,VBM,929,375,40.37,257,66,,,52
9752,Election_Day,704,164,23.3,117,11,2,,34
9752,VBM,704,302,42.9,213,50,2,1,36
9753,Election_Day,727,148,20.36,111,12,,1,24
9753,VBM,727,283,38.93,215,37,2,,29
9754,Election_Day,695,171,24.6,118,19,3,,31
9754,VBM,695,276,39.71,212,34,4,,26
9755,Election_Day,578,136,23.53,105,11,1,,19
9755,VBM,578,221,38.24,167,27,2,,25
9756,Election_Day,867,161,18.57,105,21,,1,34
9756,VBM,867,300,34.6,220,38,2,,40
9801,Election_Day,426,87,20.42,57,9,2,,19
9801,VBM,426,147,34.51,100,15,4,,28
